time_from_pulse_us,comsol_current_drop_uA,mpi_current_drop_uA,mpi_minus_comsol_uA
8.35,9.334216989874175e-05,0.710775035336707,0.7106816931668083
8.4,9.941649345613493e-05,0.7150984186567577,0.7149990021633016
8.450000000000001,0.00010578345152534362,0.7194312821949047,0.7193254987433794
8.5,0.00011243402914415366,0.7237731696371872,0.723660735608043
8.55,0.00011935921135035152,0.7281236246696441,0.7280042654582938
8.6,0.00012654998318172283,0.7324821909783145,0.7323556409951327
8.65,0.00013399732967605405,0.7368484122492377,0.7367144149195617
8.700000000000001,0.00014169223587113102,0.7412218321684525,0.7410801399325814
8.75,0.00014962568680473948,0.7456019944219979,0.7454523687351932
8.8,0.00015778866751466603,0.7499884426959132,0.7498306540283985
8.85,0.00016617216303869617,0.7543807206762373,0.7542145485131986
8.9,0.00017476715841461654,0.7587783720490097,0.7586036048905951
8.950000000000001,0.0001835646386802128,0.7631809405002689,0.7629973758615887
9.0,0.000192666156764947,0.7675790988322084,0.7673864326754435
9.05,0.00020248127320672118,0.7719398394759864,0.7717373582027797
9.1,0.00021301614238437933,0.7762638031934576,0.7760507870510732
9.15,0.00022423277584613518,0.7805552310318188,0.7803309982559726
9.200000000000001,0.00023609318514020142,0.7848183640382679,0.7845822708531277
9.25,0.0002485593818147906,0.7890574432600016,0.7888088838781868
9.3,0.00026159337741811663,0.7932767097442175,0.7930151163667993
9.35,0.0002751571834983916,0.7974804045381124,0.7972052473546141
9.4,0.00028921281160382945,0.8016727686888844,0.8013835558772805
9.450000000000001,0.0003037222732826428,0.80585804324373,0.8055543209704473
9.5,0.0003186475800830441,0.8100404692498465,0.8097218216697635
9.55,0.00033395074355324747,0.8142242877544317,0.8138903370108784
9.600000000000001,0.0003495937752414653,0.8184137398046823,0.8180641460294409
9.65,0.00036553868669591015,0.8226130664477959,0.8222475277611
9.700000000000001,0.0003817474894647961,0.8268265087309696,0.8264447612415048
9.75,0.00039818219509633515,0.8310583077014007,0.8306601255063043
9.8,0.0004148048151387413,0.8353127044062865,0.8348978995911477
9.850000000000001,0.00043157736114022704,0.839593939892824,0.8391623625316839
9.9,0.0004484618446490048,0.8439062552082108,0.8434577933635619
9.950000000000001,0.00046542812135135257,0.848253891399644,0.8477884632782927
10.0,0.00048265312185721566,0.8526410895143208,0.8521584363924636
10.25,0.000574423932449738,0.8753189455882644,0.8747445216558146
10.5,0.0006769578208522541,0.8996220068228886,0.8989450490020363
10.75,0.0007921003293892899,0.9260804041178504,0.9252883037884612
11.0,0.0009220708380308097,0.9557896917208946,0.9548676208828637
11.25,0.0010719213341765835,0.9934791227463677,0.9924072014121912
11.5,0.0012421380881722616,1.0356780226453095,1.0344358845571373
11.75,0.001431938227865702,1.0768578471488814,1.0754259089210156
12.0,0.0016405388811047618,1.111490051988244,1.1098495131071393
12.25,0.0018750929392150311,1.1389496912902455,1.1370745983510304
12.5,0.0021417860953823254,1.1632411682409547,1.1610993821455724
12.75,0.0024383846802447503,1.185779962159684,1.1833415774794394
13.0,0.002762655024440413,1.2079815523657453,1.205218897341305
13.25,0.003117342399424538,1.23111356129366,1.2279962188942353
13.5,0.0035173201235676496,1.254857553196267,1.2513402330726993
13.75,0.003959385873572691,1.2779559666473423,1.2739965807737696
14.0,0.004438575003861559,1.299140891864138,1.2947023168602765
14.25,0.0049511692983011234,1.3171968088839585,1.3122456395856574
14.5,0.005516946405819813,1.3324439721626224,1.3269270257568027
14.75,0.006139487646653935,1.3458506760908122,1.3397111884441584
15.0,0.006812385659628168,1.358152591287867,1.3513402056282386
15.25,0.007531868841993179,1.3700853883731237,1.3625535195311305
15.5,0.008309598255519291,1.3823847379659213,1.374075139710402
15.75,0.009158516327838003,1.3957863106855983,1.3866277943577603
16.0,0.010091093366405441,1.411025777151493,1.4009346837850876
16.25,0.01111366404157552,1.4279365882799837,1.4168229242384083
16.5,0.012220584530260474,1.445927829736259,1.4337072452059985
16.75,0.013406357399754043,1.4650986242630424,1.4516922668632883
17.0,0.014665485217349963,1.4855480946030553,1.4708826093857053
17.25,0.015992470550341975,1.5073753634990203,1.4913828929486783
17.5,0.01738181596602381,1.5306795536936606,1.5132977377276369
17.75,0.01882802403168921,1.5555597879296985,1.5367317638980094
18.0,0.020353625750878263,1.5839882999083845,1.5636346741575062
18.25,0.02201608970696946,1.6185767300032055,1.596560640296236
18.5,0.023796820651201894,1.6552186202180792,1.6314217995668774
18.75,0.025673486345275828,1.6895191394388505,1.6638456530935746
19.0,0.02762675773156928,1.7176775614154391,1.69005080368387
19.25,0.029677114661337024,1.7428982690787498,1.7132211544174127
19.5,0.03184228776722729,1.7661106714344403,1.734268383667213
19.75,0.03413343775767983,1.7867594977111472,1.7526260599534673
20.0,0.03656172534113438,1.8042894771375064,1.767727751796372
20.25,0.03913098185442714,1.8183402347139526,1.7792092528595254
20.5,0.04183204000470887,1.8296232830090946,1.7877912430043856
20.75,0.0446565625558911,1.8391911826038407,1.7945346200479497
21.0,0.04759621227188533,1.8480964940790992,1.8005002818072138
21.25,0.05064265191660312,1.8573917780157785,1.8067491260991753
21.5,0.05378754425395597,1.8681295949947871,1.8143420507408312
21.75,0.05702255204785541,1.8813625055970336,1.8243399535491782
22.0,0.06033933806221298,1.8981430704034261,1.837803732341213
22.25,0.06381391177205054,1.926762964968124,1.8629490531960733
22.5,0.06749669049132734,1.9678939225925483,1.9003972321012208
22.75,0.07134094874236432,2.011158590477277,1.9398176417349124
23.0,0.07529996104748239,2.046179615822887,1.9708796547754044
23.25,0.07938053680521837,2.0724895760143736,1.9931090392091553
23.5,0.08361419084043305,2.0961670162003117,2.0125528253598786
23.75,0.08799125581493367,2.116653535225301,2.028662279410367
24.0,0.09250206439052744,2.1333907319339414,2.040888667543414
24.25,0.09715957875650559,2.1463364546709576,2.049176875914452
24.5,0.1019761986439689,2.1565057042389473,2.0545295055949784
24.75,0.1069414130274385,2.164925808169275,2.0579843951418364
25.0,0.1120447108814356,2.1726240939933055,2.06057938311187
25.25,0.11729846980647547,2.180627889242402,2.0633294194359264
25.5,0.12271485062481738,2.1899645214479286,2.067249670823111
25.75,0.1282830171435992,2.2016613181412508,2.0733783009976516
26.0,0.1339921331699589,2.216745606853731,2.082753473683772
26.25,0.1398538947679959,2.245073306387831,2.1052194116198355
26.5,0.14587994095851062,2.2869205058066364,2.141040564848126
26.75,0.15205934998369228,2.3289447880305842,2.176885438046892
27.0,0.15838120008573014,2.3578037359801134,2.1994225358943833
27.25,0.1648564583175397,2.3735640716147866,2.2087076132972467
27.5,0.1714961259102432,2.3858830179340242,2.2143868920237813
27.75,0.17828933237333963,2.395803909416845,2.2175145770435054
28.0,0.18522520721632785,2.404370080542263,2.219144873325935
28.25,0.19230615683341726,2.412624865789298,2.220318708955881
28.5,0.19954510204767678,2.4216115996369667,2.22206649758929
28.75,0.20694694401189462,2.4323736165642855,2.225426672552391
29.0,0.21451658387885914,2.4459542510502725,2.2314376671714133
29.25,0.2222418604359304,2.4642777830496416,2.242035922613711
29.5,0.23010709641692312,2.487316373296581,2.257209276879658
29.75,0.23811191889430597,2.5131851774393175,2.2750732585450115
30.0,0.2462559549405475,2.5399993511260783,2.2937433961855307
30.25,0.25453883162811647,2.565874050005093,2.3113352183769766
30.5,0.26296017602948135,2.5889244297245875,2.325964253695106
30.75,0.2715358564065197,2.609322332571048,2.3377864761645286
31.0,0.2802753865009372,2.6286894969060906,2.3484141104051535
31.25,0.289168861604945,2.6473159224903475,2.3581470608854027
31.5,0.2982063770107541,2.665491609084452,2.367285232073698
31.75,0.3073780280105756,2.6835065564490375,2.376128528438462
32.0,0.31667390989662075,2.701650764344737,2.3849768544481162
32.25,0.3261121490030139,2.7196357936022464,2.3935236445992327
32.5,0.3357093449187376,2.737175174494695,2.4014658295759572
32.75,0.3454533028182896,2.754561860946471,2.4091085581281813
33.0,0.35533182787616807,2.7720888068819596,2.4167569790057915
33.25,0.36533272526687105,2.7900489662255503,2.4247162409586793
33.5,0.3754438001648963,2.8087352929016296,2.4332914927367333
33.75,0.38569049216652984,2.8286534049710066,2.442962912804477
34.0,0.3960960934001852,2.849624330990834,2.4535282375906484
34.25,0.4066451878385488,2.870914140629882,2.464268952791333
34.5,0.4173223594543069,2.8917889035569204,2.4744665441026137
34.75,0.42811219222014596,2.91151468944072,2.483402497220574
35.0,0.4390170150494785,2.9305245532118582,2.49150753816238
35.25,0.45005080013647225,2.949356778498469,2.499305978361997
35.5,0.46121559637494575,2.9674352780153983,2.5062196816404527
35.75,0.47251345265871747,2.9841839644774892,2.511670511818772
36.0,0.48394641788160564,2.999026750599588,2.5150803327179823
