time_from_pulse_us,comsol_current_drop_uA,amgx_current_drop_uA,amgx_minus_comsol_uA
5.115000000000000568e+01,1.337253738881747145e+00,1.118447029992157127e+01,9.847216561039823901e+00
5.120000000000000284e+01,1.340384154987532161e+00,1.118445342108751461e+01,9.844069266099982229e+00
5.125000000000000000e+01,1.343514571093317178e+00,1.118443654225345618e+01,9.840921971160138781e+00
5.130000000000000426e+01,1.346644987199102639e+00,1.118441966341939953e+01,9.837774676220297110e+00
5.135000000000000142e+01,1.349775403304887655e+00,1.118440278458534110e+01,9.834627381280453662e+00
5.140000000000000568e+01,1.352905819410673116e+00,1.118438590575128444e+01,9.831480086340611990e+00
5.145000000000000284e+01,1.356036235516458133e+00,1.118436902691722601e+01,9.828332791400768542e+00
5.150000000000000000e+01,1.359166651622243149e+00,1.118435214808316935e+01,9.825185496460926871e+00
5.155000000000000426e+01,1.362297067728028610e+00,1.118433526924911092e+01,9.822038201521081646e+00
5.160000000000000142e+01,1.365427483833813405e+00,1.118431839041505427e+01,9.818890906581241751e+00
5.165000000000000568e+01,1.368557899939598865e+00,1.118430151158099584e+01,9.815743611641396527e+00
5.170000000000000284e+01,1.371688316045383882e+00,1.118428463274693918e+01,9.812596316701554855e+00
5.175000000000000000e+01,1.374818732151168899e+00,1.118426775391288075e+01,9.809449021761711407e+00
5.180000000000000426e+01,1.377949148256954359e+00,1.118425087507882409e+01,9.806301726821869735e+00
5.185000000000000142e+01,1.381079564362739376e+00,1.118423399624476566e+01,9.803154431882026287e+00
5.190000000000000568e+01,1.384209980468524837e+00,1.118421711741070901e+01,9.800007136942184616e+00
5.195000000000000284e+01,1.387340396574309853e+00,1.118420023857665058e+01,9.796859842002341168e+00
5.200000000000000000e+01,1.390470812680094870e+00,1.118418335974259392e+01,9.793712547062499496e+00
5.205000000000000426e+01,1.393694948404351708e+00,1.118416648090853549e+01,9.790471532504183116e+00
5.210000000000000142e+01,1.396919084128607880e+00,1.118414960207447884e+01,9.787230517945870290e+00
5.215000000000000568e+01,1.400143219852864718e+00,1.118413272324042040e+01,9.783989503387555686e+00
5.220000000000000284e+01,1.403367355577120890e+00,1.118411584440636375e+01,9.780748488829242859e+00
5.225000000000000000e+01,1.406591491301377284e+00,1.118409896557230532e+01,9.777507474270928256e+00
5.230000000000000426e+01,1.409815627025633900e+00,1.118408208673824866e+01,9.774266459712615429e+00
5.235000000000000142e+01,1.413039762749890293e+00,1.118406520790419023e+01,9.771025445154300826e+00
5.240000000000000568e+01,1.416263898474146909e+00,1.118404832907013358e+01,9.767784430595986223e+00
5.245000000000000284e+01,1.419488034198403303e+00,1.118403145023607692e+01,9.764543416037673396e+00
5.250000000000000000e+01,1.422712169922659475e+00,1.118401457140201849e+01,9.761302401479358792e+00
5.255000000000000426e+01,1.425936305646916091e+00,1.118399769256796183e+01,9.758061386921045965e+00
5.260000000000000142e+01,1.429160441371172485e+00,1.118398081373390340e+01,9.754820372362731362e+00
5.265000000000000568e+01,1.432384577095429101e+00,1.118396393489984675e+01,9.751579357804416759e+00
5.270000000000000284e+01,1.435608712819685495e+00,1.118394705606578832e+01,9.748338343246102156e+00
5.275000000000000000e+01,1.438832848543941667e+00,1.118393017723173166e+01,9.745097328687789329e+00
5.280000000000000426e+01,1.442056984268198505e+00,1.118391329839767323e+01,9.741856314129474725e+00
5.285000000000000142e+01,1.445281119992454677e+00,1.118389641956361658e+01,9.738615299571161898e+00
5.290000000000000568e+01,1.448505255716711515e+00,1.118387954072955814e+01,9.735374285012847295e+00
