time_from_pulse_us,comsol_current_drop_uA,amgx_current_drop_uA,amgx_minus_comsol_uA
5.020000000000000284e+01,1.277775832871828499e+00,1.110028407337122908e-01,-1.166772992138116249e+00
5.025000000000000000e+01,1.280906248977613515e+00,1.110256825031311068e-01,-1.169880566474482464e+00
5.030000000000000426e+01,1.284036665083398976e+00,1.110485242725499366e-01,-1.172988140810849123e+00
5.035000000000000142e+01,1.287167081189183993e+00,1.110713660419687665e-01,-1.176095715147215337e+00
5.040000000000000568e+01,1.290297497294969453e+00,1.110942078113875825e-01,-1.179203289483581774e+00
5.045000000000000284e+01,1.293427913400754470e+00,1.111170495808064124e-01,-1.182310863819947988e+00
5.050000000000000000e+01,1.296558329506539486e+00,1.111398913502252284e-01,-1.185418438156314203e+00
5.055000000000000426e+01,1.299688745612324947e+00,1.111627331196440582e-01,-1.188526012492680861e+00
5.060000000000000142e+01,1.302819161718109964e+00,1.111855748890628742e-01,-1.191633586829047076e+00
5.065000000000000568e+01,1.305949577823895424e+00,1.112033957077153690e-01,-1.194746182116180000e+00
5.070000000000000284e+01,1.309079993929680441e+00,1.112157771630097741e-01,-1.197864216766670653e+00
5.075000000000000000e+01,1.312210410035465458e+00,1.112281586183041793e-01,-1.200982251417161306e+00
5.080000000000000426e+01,1.315340826141250918e+00,1.112405400735985844e-01,-1.204100286067652403e+00
5.085000000000000142e+01,1.318471242247035713e+00,1.112529215288929896e-01,-1.207218320718142834e+00
5.090000000000000568e+01,1.321601658352821174e+00,1.112653029841873947e-01,-1.210336355368633710e+00
5.095000000000000284e+01,1.324732074458606190e+00,1.112776844394817860e-01,-1.213454390019124363e+00
5.100000000000000000e+01,1.327862490564391207e+00,1.112900658947761912e-01,-1.216572424669615016e+00
5.105000000000000426e+01,1.330992906670176668e+00,1.113024473500705963e-01,-1.219690459320106113e+00
5.110000000000000142e+01,1.334123322775961684e+00,1.113148288053650015e-01,-1.222808493970596766e+00
