case,P_fraction,branch_id,sheet,hot_trace,T_hot_K,cold_trace,T_cold_K,dT_K,native_residual_primal_inf,native_balance_rel,T_TES_bottom_K,T_Membrane_top_under_TES_K,T_MembraneSiNx_sidewall_to_SiNx_K,T_MembraneSi1_sidewall_to_Si_1_K,T_frame_top_SiNx_K,T_bath_K,T_TES_average_harness_K,T_TES_source_weighted_K,dT_TES_trace_jump_K
best_phase24,0.95,C,SiO2_1,sheet nodes inside TES footprint (mean),0.16526862776096032,sheet nodes on window perimeter (mean),0.1500011817441274,0.015267446016832914,1.2414392312043295e-16,-3.4430591011257004e-05,,,,,,,,,
best_phase24,0.95,nodes,,,,,,,,,0.1655265460129039,0.16552648452577262,0.15000325284911106,0.15000170462047596,0.15000011558349235,0.15,0.1655262551801678,0.1655265460139623,6.148713127540617e-08
best_phase24,1.0,A,Membrane_SiNx,sheet nodes inside TES footprint (mean),0.16631260648733318,sheet nodes on window perimeter (mean),0.1500033656111872,0.016309240876145964,1.3749831187806075e-16,-3.28717134494357e-05,,,,,,,,,
best_phase24,1.0,B,Membrane_Si1,sheet nodes inside TES footprint (mean),0.16621200999435237,sheet nodes on window perimeter (mean),0.1500017836964347,0.016210226297917685,1.3749831187806075e-16,-3.28717134494357e-05,,,,,,,,,
best_phase24,1.0,C,SiO2_1,sheet nodes inside TES footprint (mean),0.16607226500580818,sheet nodes on window perimeter (mean),0.15000124394313996,0.016071021062668223,1.3749831187806075e-16,-3.28717134494357e-05,,,,,,,,,
best_phase24,1.0,nodes,,,,,,,,,0.16634375833222645,0.16634369360576207,0.15000342405707523,0.15000179434016125,0.15000012166702362,0.15,0.16634345219181979,0.1663437583333406,6.47264643827139e-08
best_phase24,1.05,A,Membrane_SiNx,sheet nodes inside TES footprint (mean),0.16712826116519347,sheet nodes on window perimeter (mean),0.15000353389676974,0.017124727268423734,1.5477336955762745e-16,-3.14613592831156e-05,,,,,,,,,
best_phase24,1.05,B,Membrane_Si1,sheet nodes inside TES footprint (mean),0.16702263469719444,sheet nodes on window perimeter (mean),0.15000187288391775,0.01702076181327669,1.5477336955762745e-16,-3.14613592831156e-05,,,,,,,,,
best_phase24,1.05,C,SiO2_1,sheet nodes inside TES footprint (mean),0.16687590225065557,sheet nodes on window perimeter (mean),0.15000130614215249,0.016874596108503087,1.5477336955762745e-16,-3.14613592831156e-05,,,,,,,,,
best_phase24,1.05,nodes,,,,,,,,,0.16716097065154867,0.16716090268575115,0.15000359526503945,0.15000188405984652,0.15000012775055493,0.15,0.16716064920347132,0.16716097065271845,6.79657975177772e-08
refined_parent,0.95,A,Membrane_SiNx,sheet nodes inside TES footprint (mean),0.164961645417629,sheet nodes on window perimeter (mean),0.1500022586197619,0.014959386797867097,1.3425035596226288e-16,3.44689000037974e-06,,,,,,,,,
refined_parent,0.95,B,Membrane_Si1,sheet nodes inside TES footprint (mean),0.1648771435770684,sheet nodes on window perimeter (mean),0.15000170578805339,0.014875437789015011,1.3425035596226288e-16,3.44689000037974e-06,,,,,,,,,
refined_parent,0.95,C,SiO2_1,sheet nodes inside TES footprint (mean),0.1648015570859378,sheet nodes on window perimeter (mean),0.15000118392911732,0.014800373156820479,1.3425035596226288e-16,3.44689000037974e-06,,,,,,,,,
refined_parent,0.95,nodes,,,,,,,,,0.16499021701237904,0.16499021701237904,0.15000228816450475,0.15000171601302564,0.1500001116927359,0.15,0.16498991761769755,0.16499021701339867,0.0
refined_parent,1.0,A,Membrane_SiNx,sheet nodes inside TES footprint (mean),0.1657490982139361,sheet nodes on window perimeter (mean),0.15000237749414777,0.015746720719788332,1.5525417176158039e-16,3.2887449975818058e-06,,,,,,,,,
refined_parent,1.0,B,Membrane_Si1,sheet nodes inside TES footprint (mean),0.1656601489206769,sheet nodes on window perimeter (mean),0.15000179556611576,0.015658353354561144,1.5525417176158039e-16,3.2887449975818058e-06,,,,,,,,,
refined_parent,1.0,C,SiO2_1,sheet nodes inside TES footprint (mean),0.16558058420442603,sheet nodes on window perimeter (mean),0.15000124624099767,0.015579337963428364,1.5525417176158039e-16,3.2887449975818058e-06,,,,,,,,,
refined_parent,1.0,nodes,,,,,,,,,0.1657791735726182,0.1657791735726182,0.15000240859387268,0.15000180632924293,0.15000011757128215,0.15,0.1657788584203432,0.1657791735736916,0.0
refined_parent,1.05,A,Membrane_SiNx,sheet nodes inside TES footprint (mean),0.1665365510102435,sheet nodes on window perimeter (mean),0.15000249636853358,0.016534054641709928,1.1073190870668599e-16,3.1455363487569856e-06,,,,,,,,,
refined_parent,1.05,B,Membrane_Si1,sheet nodes inside TES footprint (mean),0.1664431542642856,sheet nodes on window perimeter (mean),0.15000188534417813,0.01644126892010747,1.1073190870668599e-16,3.1455363487569856e-06,,,,,,,,,
