case,operator,mode,s_bin_um,trace_nodes,input_mean,reaction_W_per_K,reaction_density_W_per_K_m2,area_m2,energy_W_per_K,normalized_response_W_per_K_m2,energy_K_per_W,TES_mean_response_K_per_W,net_source_W
refined_parent,TES_Membrane_local_operator,linear_y,200-225,44,0.0002497622046028934,1.1790795218991872e-10,0.0017882743616198858,6.593392754516331e-08,,,,,
refined_parent,TES_Membrane_local_operator,linear_y,225-240,0,,0.0,,0.0,,,,,
refined_parent,TES_Membrane_local_operator,linear_y,240-250,48,0.01265033603966408,9.874255250725046e-09,0.29353969405732844,3.3638568992977825e-08,,,,,
refined_parent,TES_Membrane_local_operator,radial_quadratic,0-50,5,0.022161422482973113,5.478883090724379e-09,0.6252742051844541,8.762368646101632e-09,,,,,
refined_parent,TES_Membrane_local_operator,radial_quadratic,50-100,20,0.1426149102372884,1.41052045902821e-07,4.029229653842289,3.500719939562473e-08,,,,,
refined_parent,TES_Membrane_local_operator,radial_quadratic,100-150,28,0.363413945108285,4.986120061008303e-07,10.275426445406337,4.8524701991685846e-08,,,,,
refined_parent,TES_Membrane_local_operator,radial_quadratic,150-200,34,0.6359232732358413,1.0471268717812798e-06,18.01253448374133,5.813323342844666e-08,,,,,
refined_parent,TES_Membrane_local_operator,radial_quadratic,200-225,44,0.9856105961694308,1.90035460975032e-06,28.822105409216196,6.593392754516331e-08,,,,,
refined_parent,TES_Membrane_local_operator,radial_quadratic,225-240,0,,0.0,,0.0,,,,,
refined_parent,TES_Membrane_local_operator,radial_quadratic,240-250,48,1.3028913348958973,2.055096892023243e-06,61.09346959593472,3.3638568992977825e-08,,,,,
refined_parent,TES_Membrane_local_operator,constant,TOTAL,179,,7.715681804699722e-06,,,7.715681804699722e-06,30.86272721879889,,,
refined_parent,TES_Membrane_local_operator,linear_x,TOTAL,179,,-4.6554814999381275e-09,,,2.8175365122743985e-06,33.4192910406581,,,
refined_parent,TES_Membrane_local_operator,linear_y,TOTAL,179,,-3.0879292188908512e-09,,,2.8227263001545295e-06,33.4868970971878,,,
refined_parent,TES_Membrane_local_operator,radial_quadratic,TOTAL,179,,5.6477213086492185e-06,,,5.782669638376597e-06,36.01077283478313,,,
refined_parent,TES_side_native_NtD,constant,TOTAL,,,,,,,,49263496.16719532,49262350.49926162,1.0
refined_parent,TES_side_native_NtD,linear_x,TOTAL,,,,,,,,3077.802711441151,-15.828127702263547,-1.6870532748569644e-13
refined_parent,TES_side_native_NtD,linear_y,TOTAL,,,,,,,,3092.5320267995003,29.46275121952842,1.1263906474212604e-13
refined_parent,TES_side_native_NtD,radial_quadratic,TOTAL,,,,,,,,22379049.315390512,33202721.967498165,0.6740148025492422
