% Model:              0902gakkai715uA_tes.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 7 2026, 10:49
% Table:              プローブテーブル 1 - 
% 時間 (ms)                                         温度 (K), 吸収体                                       温度 (K), StyCast                                   温度 (K), TES                                       アンペアメーターを通る電流 # (µA)                              TES R(T) (mΩ), TES R
20.02000017266953                                 0.16859596096050686                               0.16858395011519037                               0.1685838816384822                                143.05505038221108                                15.592496137873963
20.02000019407464                                 0.16859809952218696                               0.1685839501151883                                0.16858388163848212                               143.05505038221264                                15.592496137873798
20.02000021333924                                 0.1686001224930185                                0.16858395011518787                               0.16858388163848212                               143.05505038221403                                15.59249613787356
20.02000023260384                                 0.1686022347049929                                0.16858395011518854                               0.168583881638482                                 143.05505038221543                                15.592496137873423
20.020000251868442                                0.1686044328058752                                0.16858395011518995                               0.16858388163848198                               143.05505038221682                                15.592496137873262
20.020000271133043                                0.16860671376796912                               0.16858395011519234                               0.16858388163848192                               143.0550503822182                                 15.5924961378731
20.020000290397643                                0.16860907484602675                               0.16858395011519425                               0.1685838816384819                                143.05505038221963                                15.592496137872926
20.020000309662244                                0.16861151353732687                               0.16858395011519672                               0.1685838816384818                                143.05505038222103                                15.59249613787272
20.020000328926844                                0.16861402754779284                               0.16858395011519897                               0.1685838816384818                                143.05505038222242                                15.592496137872601
20.020000348191445                                0.16861661476394438                               0.16858395011520114                               0.16858388163848173                               143.0550503822238                                 15.592496137872448
20.020000367456046                                0.16861927322984                                  0.16858395011520302                               0.1685838816384817                                143.0550503822252                                 15.592496137872294
20.020000386720643                                0.1686220011280529                                0.16858395011520466                               0.16858388163848162                               143.05505038222663                                15.592496137872232
20.020000405985243                                0.1686247967637699                                0.1685839501152063                                0.16858388163848168                               143.055050382228                                  15.592496137872
20.02000044451444                                 0.16863058313576404                               0.16858395011520888                               0.1685838816384815                                143.05505038223077                                15.592496137871644
20.02000047919072                                 0.16863600775171186                               0.16858395011521093                               0.16858388163848145                               143.05505038223328                                15.592496137871416
20.020000513867                                   0.1686416300952273                                0.1685839501152128                                0.16858388163848143                               143.05505038223578                                15.592496137871098
20.02000054854328                                 0.16864744332976353                               0.16858395011521457                               0.16858388163848137                               143.0550503822383                                 15.592496137870812
20.02000058321956                                 0.1686534411997128                                0.16858395011521768                               0.16858388163848126                               143.05505038224078                                15.592496137870482
20.02000061789584                                 0.16865961796956971                               0.16858395011522093                               0.16858388163848118                               143.0550503822433                                 15.59249613787012
20.02000065257212                                 0.16866596836145456                               0.1685839501152251                                0.16858388163848115                               143.0550503822458                                 15.592496137869789
20.020000687248395                                0.1686724874993204                                0.16858395011522972                               0.16858388163848112                               143.05505038224834                                15.592496137869453
20.020000721924674                                0.16867917086102432                               0.16858395011523508                               0.168583881638481                                 143.0550503822508                                 15.592496137869109
20.020000756600954                                0.16868601423778518                               0.16858395011524108                               0.1685838816384809                                143.05505038225334                                15.592496137868828
20.020000791277234                                0.16869301369966075                               0.16858395011524768                               0.16858388163848081                               143.05505038225587                                15.59249613786862
20.020000825953513                                0.1687001655661217                                0.16858395011525554                               0.1685838816384807                                143.05505038225834                                15.592496137868373
20.020000860629793                                0.16870746638081643                               0.1685839501152629                                0.16858388163848076                               143.05505038226087                                15.592496137868096
20.020000895306072                                0.1687149128896857                                0.16858395011527058                               0.16858388163848062                               143.05505038226337                                15.592496137867867
20.020000929982352                                0.16872250202206954                               0.16858395011527874                               0.16858388163848062                               143.05505038226588                                15.592496137867482
20.020000999334904                                0.16873809321114688                               0.16858395011529423                               0.16858388163848048                               143.05505038227088                                15.592496137866716
20.020001000310177                                0.16873828655916837                               0.16858395011529137                               0.16858388163848045                               143.05505038227093                                15.592496137866757
20.020001002260717                                0.16873866804433896                               0.1685839501152859                                0.16858388163848045                               143.05505038227108                                15.592496137866744
20.020001004016205                                0.16873900973153286                               0.16858395011528132                               0.16858388163848045                               143.05505038227116                                15.592496137866744
20.020001005771693                                0.16873934981814476                               0.1685839501152773                                0.16858388163848045                               143.0550503822713                                 15.592496137866839
20.02000100752718                                 0.16873968835000855                               0.16858395011527355                               0.16858388163848048                               143.05505038227145                                15.592496137866858
20.020001011038154                                0.16874036191722094                               0.16858395011526686                               0.1685838816384805                                143.0550503822717                                 15.592496137866862
20.020001014549127                                0.168741029985037                                 0.16858395011526142                               0.16858388163848048                               143.05505038227193                                15.592496137866744
20.020001021571073                                0.1687423500749703                                0.1685839501152543                                0.16858388163848043                               143.05505038227244                                15.592496137866622
20.02000102859302                                 0.168743649992681                                 0.1685839501152505                                0.16858388163848037                               143.05505038227295                                15.592496137866542
20.020001035614964                                0.16874493120874792                               0.1685839501152493                                0.16858388163848045                               143.0550503822735                                 15.592496137866497
20.02000104263691                                 0.16874619505626323                               0.16858395011525032                               0.1685838816384804                                143.05505038227398                                15.59249613786641
20.020001049658855                                0.16874744268966066                               0.16858395011525265                               0.16858388163848037                               143.0550503822745                                 15.592496137866341
20.0200010566808                                  0.1687486751006194                                0.16858395011525656                               0.16858388163848034                               143.055050382275                                  15.592496137866343
20.020001063702747                                0.16874989314575894                               0.16858395011526028                               0.16858388163848037                               143.0550503822755                                 15.592496137866247
20.020001070724692                                0.16875109757228737                               0.16858395011526528                               0.16858388163848034                               143.055050382276                                  15.592496137866133
