case,constraint_row_local,classification,coefficient_count,support_node_count,side_a_node_count,side_b_node_count,coefficient_l1,coefficient_l2,coefficient_max_abs,support_x_span_m,support_y_span_m
historical,95,Stycast_to_substrate,18,18,8,10,2.6478956258058227e-10,1.0008579041434697e-10,6.619739064514544e-11,3.207095605710001e-05,2.916118082000002e-05
historical,96,Stycast_to_substrate,18,18,6,12,1.9669838345034836e-10,7.526031426643303e-11,4.919656807412993e-11,3.672000697429999e-05,3.5840673291999935e-05
historical,97,Stycast_to_substrate,22,22,7,15,2.6533389848937847e-10,9.716950940398923e-11,6.626260476935848e-11,3.8156340318999996e-05,3.941876114399998e-05
historical,98,Stycast_to_substrate,16,16,6,10,1.4981155164364766e-10,5.869567059476492e-11,3.7452887910911896e-11,3.175149717500001e-05,3.135864326300004e-05
historical,99,Stycast_to_substrate,20,20,8,12,2.773909451328715e-10,1.0070931497519763e-10,6.934773628321785e-11,3.475306019741e-05,3.3110560386000014e-05
historical,100,Stycast_to_substrate,17,17,6,11,1.5487565393239478e-10,5.945692442123841e-11,3.871891348309868e-11,3.1499071986400007e-05,2.8651557652000078e-05
historical,101,Stycast_to_substrate,20,20,7,13,2.479274060858719e-10,9.398655630678374e-11,6.184861780401553e-11,4.03073798848e-05,2.951794497099995e-05
historical,102,Stycast_to_substrate,25,25,9,16,4.1271524066453125e-10,1.4107152271096926e-10,1.0318091010936903e-10,3.6864558174600004e-05,4.4873358352000054e-05
historical,103,Stycast_to_substrate,21,21,8,13,2.95416764889823e-10,1.0386062583602024e-10,7.385808779782687e-11,3.6566678307999994e-05,3.652844019099994e-05
historical,104,Stycast_to_substrate,19,19,6,13,1.9076591087030165e-10,7.233792842568848e-11,4.7691477717575354e-11,3.1629432087000014e-05,3.5711742895000085e-05
historical,105,Stycast_to_substrate,15,15,6,9,1.3558023985844626e-10,5.588118464807808e-11,3.929896892824084e-11,3.09941791639e-05,2.4811628073999944e-05
historical,106,Stycast_to_substrate,18,18,7,11,2.3535773069075813e-10,8.68256884237192e-11,5.883943267268948e-11,3.33778674392e-05,3.420131551599992e-05
historical,107,Stycast_to_substrate,19,19,7,12,2.411388779251066e-10,9.155002514679988e-11,6.028471948127653e-11,3.64769438577e-05,4.3404472796999935e-05
historical,108,Stycast_to_substrate,20,20,7,13,2.1310754926617126e-10,8.012263747399112e-11,5.3276887316542784e-11,3.5822408277300006e-05,3.7065202796000016e-05
historical,109,Stycast_to_substrate,15,15,5,10,1.2281193645050528e-10,4.885523612920882e-11,3.070877288511335e-11,2.8661840982999984e-05,3.472199519500001e-05
historical,110,Stycast_to_substrate,18,18,6,12,1.6286152208178317e-10,6.227596983132447e-11,4.0715380520445754e-11,3.49461725072e-05,3.265243248999996e-05
historical,111,Stycast_to_substrate,14,14,6,8,1.5208627159909465e-10,6.193326709493431e-11,4.3675194266885536e-11,2.451973783799e-05,2.524493967800002e-05
historical,112,Stycast_to_substrate,19,19,6,13,1.3353390385157845e-10,5.091211231991812e-11,3.338347596289465e-11,2.90337965154e-05,3.7503492301999984e-05
historical,113,Stycast_to_substrate,17,17,6,11,1.9010771934849304e-10,7.222353900020443e-11,4.7526929837123266e-11,3.39703343935e-05,3.3777452138999985e-05
historical,114,Stycast_to_substrate,20,20,7,13,2.0763588196310806e-10,7.832828609750776e-11,5.190897049077701e-11,3.59675146642e-05,3.7764290505999925e-05
