interface,side,boundary_id,parent_element,element_type,face_type,face_node_count,face_area_m2,element_volume_m3,centroid_to_face_h_m,local_kA_over_h_W_K,local_face_block_diagonal_W_K,local_matrix_trace_W_K,local_face_block_trace_fraction,face_temperature_K,element_temperature_K,abs_element_face_deltaT_K,abs_normal_gradient_K_m,abs_normal_flux_W_m2,abs_face_heatflow_proxy_W,case
TES_to_Stycast,side_a,25,465548,706,303,3,6.93875728790866e-11,1.1102011660653762e-17,8.000000000001279e-08,2.333972442040243e-09,1.1674835908849466e-09,2.3349671817698936e-09,0.4999999999999999,0.16705282928407006,0.1670528292880715,4.0014380697783736e-12,5.001776751472264e-05,1.3459481131606774e-10,9.33920727934056e-21,historical
TES_to_Stycast,side_a,25,463963,706,303,3,8.652346531111253e-11,1.3843754449777862e-17,8.000000000001279e-08,2.9103681718030995e-09,1.4557090169771732e-09,2.911418033954347e-09,0.49999999999999994,0.16705279998335043,0.16705279999440062,1.1050188541972261e-11,0.00013812735838397055,3.716924337697617e-10,3.216011739968097e-20,historical
TES_to_Stycast,side_a,25,293580,706,303,3,9.764303045409992e-11,1.562288487265582e-17,8.000000000001279e-08,3.2843942046264205e-09,1.6426966607042402e-09,3.28539332140848e-09,0.5000000000000001,0.16705289831217282,0.16705289823861413,7.355868691938383e-11,0.000919483346822383,2.4742745172982237e-09,2.415956620443538e-19,historical
TES_to_Stycast,side_a,25,291202,706,303,3,8.710751755831393e-11,1.393720280933009e-17,8.000000000001279e-08,2.9300137912291482e-09,1.4655196895686578e-09,2.9310393791373155e-09,0.5,0.16705291949055115,0.1670529195497981,5.924694068681902e-11,0.0007405877425105483,1.992877179831335e-09,1.7359458393372117e-19,historical
TES_to_Stycast,side_a,25,411899,706,303,3,7.574547031185068e-11,1.2119275249895997e-17,8.000000000001279e-08,2.547831448511736e-09,1.2744339288748969e-09,2.5488678577497938e-09,0.5,0.16705336019821837,0.16705336018551412,1.270425431521005e-11,0.0001588026052283749,4.273282825132432e-10,3.2368181736521e-20,historical
TES_to_Stycast,side_a,25,458622,706,303,3,8.257609874835754e-11,1.321217579973705e-17,8.000000000001279e-08,2.7775915895733716e-09,1.3893112345777978e-09,2.7786224691555955e-09,0.5,0.16705361022151974,0.16705361026895912,4.743938575302309e-11,0.0005929917936422857,1.5957053371837726e-09,1.3176712149656834e-19,historical
TES_to_Stycast,side_a,25,451974,706,303,3,8.523770778918519e-11,1.3638033246269499e-17,8.000000000001279e-08,2.8671194674774174e-09,1.4340763101447028e-09,2.8681526202894056e-09,0.5,0.1670527411523305,0.16705274114247995,9.850537052713548e-12,0.00012313111412701888,3.313384402489602e-10,2.8242529149265273e-20,historical
TES_to_Stycast,side_a,25,416574,706,303,3,8.233060922841982e-11,1.3172897476547043e-17,8.000000000001279e-08,2.769334119963608e-09,1.3851658532103665e-09,2.770331706420733e-09,0.5,0.1670537470148877,0.1670537470024246,1.2463113874261467e-11,0.00015578902824437248,4.1921892766391174e-10,3.451454971465471e-20,historical
TES_to_Stycast,side_a,25,439107,706,303,3,7.756762219342896e-11,1.2410819550948499e-17,8.000000000001279e-08,2.6091227158144048e-09,1.3050777688582918e-09,2.6101555377165836e-09,0.5,0.16705391860139593,0.1670539186016333,2.3736568266485847e-13,2.9673863489057626e-06,7.985058621724474e-12,6.193820103623066e-22,historical
TES_to_Stycast,side_a,25,311093,706,303,3,9.105848090220126e-11,1.4569356944352075e-17,8.000000000001279e-08,3.062911357486629e-09,1.5320095560650446e-09,3.0640191121300896e-09,0.49999999999999994,0.16705290789021987,0.16705290790590555,1.5685674981114062e-11,0.00019607115717943106,5.276157197004183e-10,4.804388593604171e-20,historical
TES_to_Stycast,side_a,25,473570,706,303,3,7.722444088816676e-11,1.235591054210655e-17,8.000000000001279e-08,2.5975792120446284e-09,1.2993091239766749e-09,2.5986182479533493e-09,0.5000000000000001,0.16705216944380255,0.1670521694503548,6.552258735581518e-12,8.190307460648064e-05,2.2039625958156303e-10,1.7019977920029472e-20,historical
TES_to_Stycast,side_a,25,266570,706,303,3,8.012400916777137e-11,1.2819841466843252e-17,8.000000000001279e-08,2.6951112653736027e-09,1.3480813606480528e-09,2.6961627212961056e-09,0.5,0.1670522582157421,0.16705225820846384,7.278261326959523e-12,9.097818270540508e-05,2.448168309692828e-10,1.9615706009007547e-20,historical
TES_to_Stycast,side_a,25,500452,706,303,3,8.439561890137522e-11,1.3503299024219931e-17,8.000000000001279e-08,2.8387943340803793e-09,1.4199480251713048e-09,2.83989605034261e-09,0.49999999999999994,0.16705206171236,0.16705206171149448,8.65529869997772e-13,1.0818610150674889e-05,2.911223079885709e-11,2.456944735869221e-21,historical
TES_to_Stycast,side_a,25,482895,706,303,3,7.817482219271141e-11,1.250797155083374e-17,8.000000000001279e-08,2.6295469503902656e-09,1.3153054571559195e-09,2.630610914311839e-09,0.5,0.16705331328560324,0.16705331328648163,8.783807015078082e-13,1.0979695775513313e-05,2.9545702550159794e-11,2.309730043417482e-21,historical
TES_to_Stycast,side_a,25,266790,706,303,3,8.126070939967974e-11,1.3001713503948627e-17,8.000000000001279e-08,2.733346166899241e-09,1.3672016672764969e-09,2.7344033345529937e-09,0.5,0.1670524080301912,0.16705240807532593,4.513472928735496e-11,0.0005641839112215385,1.518185054062487e-09,1.2336879449310884e-19,historical
TES_to_Stycast,side_a,25,370226,706,303,3,7.027290042735042e-11,1.1243664068375934e-17,8.000000000001279e-08,2.3637519834493018e-09,1.182392575374153e-09,2.364785150748306e-09,0.5,0.1670536827457918,0.16705368275037133,4.5795311987006926e-12,5.724386373535603e-05,1.5403980268001897e-10,1.082482371558168e-20,historical
TES_to_Stycast,side_a,25,375636,706,303,3,7.09871046701112e-11,1.1357936747217719e-17,8.000000000001279e-08,2.3877754930119815e-09,1.1944073726366757e-09,2.388814745273351e-09,0.5000000000000001,0.16705369188117355,0.1670536918710872,1.0086348423143932e-11,0.00012607912514831372,3.3927136102660333e-10,2.4083891616766578e-20,historical
TES_to_Stycast,side_a,25,276209,706,303,3,7.781846044090823e-11,1.2450953670545213e-17,8.000000000001279e-08,2.6175600992353015e-09,1.3092796286538641e-09,2.6185592573077282e-09,0.5,0.16705225911997176,0.16705225891681677,2.0315499282830274e-10,0.002539437206154873,6.833473155530394e-09,5.317703604276504e-19,historical
TES_to_Stycast,side_a,25,454621,706,303,3,9.323787977099758e-11,1.4918060763359484e-17,8.000000000001279e-08,3.1362192523866017e-09,1.568616406922409e-09,3.137232813844818e-09,0.5,0.1670538568833042,0.16705385688195754,1.3466727732946993e-12,1.683298485736064e-05,4.5296552272066044e-11,4.2233544947836e-21,historical
TES_to_Stycast,side_a,25,453327,706,303,3,8.239428221635876e-11,1.3183085154617301e-17,8.000000000001279e-08,2.7714758723406627e-09,1.386250505376483e-09,2.772501010752966e-09,0.5,0.1670538611670663,0.16705386116513077,1.9355350655558823e-12,2.419394675776945e-05,6.510445908835213e-11,5.364235175669068e-21,historical
TES_to_Stycast,side_a,25,309127,706,303,3,7.677406992144736e-11,1.2283851187431457e-17,8.000000000001279e-08,2.582430196429832e-09,1.2917250949957477e-09,2.5834501899914958e-09,0.49999999999999994,0.16705294478792057,0.16705294478246882,5.451750162421831e-12,6.814644004444212e-05,1.833779813731911e-10,1.4078673963999244e-20,historical
TES_to_Stycast,side_a,25,369405,706,303,3,6.203294617392413e-11,9.925271387827746e-18,8.000000000001279e-08,2.0865867022154094e-09,1.0438064667224409e-09,2.0876129334448818e-09,0.5,0.16705245233226482,0.16705245230702426,2.524055964236993e-11,0.0003155065069142954,8.490090797159541e-10,5.2666534543192645e-20,historical
TES_to_Stycast,side_a,25,294058,706,303,3,7.128207008362714e-11,1.140513121338025e-17,8.000000000001279e-08,2.397697170885062e-09,1.1994452059164542e-09,2.3988904118329083e-09,0.5,0.16705200838263168,0.1670520083823496,2.8207991498163665e-13,3.5258321629014037e-06,9.487802800437904e-12,6.763102241604485e-22,historical
TES_to_Stycast,side_a,25,279937,706,303,3,8.58335869255619e-11,1.3733373908089814e-17,8.000000000001279e-08,2.887162905017933e-09,1.4440806911985858e-09,2.888161382397171e-09,0.5000000000000001,0.16705273938471096,0.16705273939998444,1.5273476927646357e-11,0.00019091871542013849,5.137508080726675e-10,4.4097074642782974e-20,historical
TES_to_Stycast,side_a,25,275865,706,303,3,8.255125739936322e-11,1.3208201183898028e-17,8.000000000001279e-08,2.776756007327587e-09,1.3888774005773339e-09,2.7777548011546678e-09,0.5,0.16705265179096243,0.16705265178879605,2.166378187951068e-12,2.7079562261248576e-05,7.286947727128425e-11,6.015466974778834e-21,historical
TES_to_Stycast,side_a,25,320950,706,303,3,6.184008274920282e-11,9.89441323987236e-18,8.000000000001279e-08,2.0800994034139155e-09,1.040559636559545e-09,2.08111927311909e-09,0.5,0.16705308416675035,0.16705308416751882,7.684686220699177e-13,9.606202278143375e-06,2.5849713958347136e-11,1.5985484502274102e-21,historical
TES_to_Stycast,side_a,25,499796,706,303,3,9.456908679575532e-11,1.513105388732069e-17,8.000000000001279e-08,3.1809967302766144e-09,1.5909981631718508e-09,3.181996326343701e-09,0.5000000000000001,0.16705169036103595,0.16705169054667054,1.8563459103226876e-10,0.0023204322362996256,6.244143921948115e-09,5.905029885198993e-19,historical
