case,power_fraction,power_W,trace,temperature_K,temperature_mK,source
refined_mortar_parent,1.05,3.3631550002208954e-10,Membrane_trace,0.16656813013285743,166.56813013285742,area-weighted native captured primal trace
refined_mortar_parent,1.05,3.3631550002208954e-10,Si1_branch_entry,0.16164077935006216,161.64077935006216,area-weighted native captured primal trace
refined_mortar_parent,1.05,3.3631550002208954e-10,Si1_branch_exit,0.15000012344982921,150.0001234498292,area-weighted native captured primal trace
refined_mortar_parent,1.05,3.3631550002208954e-10,Si2_branch_entry,0.15031696777641557,150.31696777641557,area-weighted native captured primal trace
refined_mortar_parent,1.05,3.3631550002208954e-10,Si2_branch_exit,0.1500000959304861,150.0000959304861,area-weighted native captured primal trace
refined_mortar_parent,1.05,3.3631550002208954e-10,SiO2_2_bath_side,0.15000000000000507,150.0000000000051,area-weighted native captured primal trace
refined_mortar_parent,1.05,3.3631550002208954e-10,bath,0.15000008216099228,150.0000821609923,area-weighted native captured primal trace
membrane_substrate_control,0.95,3.042854524009381e-10,TES_trace,0.16552654601290398,165.526546012904,area-weighted native captured primal trace
membrane_substrate_control,0.95,3.042854524009381e-10,Membrane_trace,0.16552648452577262,165.52648452577262,area-weighted native captured primal trace
membrane_substrate_control,0.95,3.042854524009381e-10,Si1_branch_entry,0.16091239467054863,160.91239467054862,area-weighted native captured primal trace
membrane_substrate_control,0.95,3.042854524009381e-10,Si1_branch_exit,0.15000011558349335,150.00011558349337,area-weighted native captured primal trace
membrane_substrate_control,0.95,3.042854524009381e-10,Si2_branch_entry,0.15029713169980713,150.29713169980712,area-weighted native captured primal trace
membrane_substrate_control,0.95,3.042854524009381e-10,Si2_branch_exit,0.150000086790988,150.000086790988,area-weighted native captured primal trace
membrane_substrate_control,0.95,3.042854524009381e-10,SiO2_2_bath_side,0.15000000000000568,150.00000000000568,area-weighted native captured primal trace
membrane_substrate_control,0.95,3.042854524009381e-10,bath,0.15000007450468011,150.00007450468013,area-weighted native captured primal trace
membrane_substrate_control,1.0,3.203004762115138e-10,TES_trace,0.16634375833222656,166.34375833222657,area-weighted native captured primal trace
membrane_substrate_control,1.0,3.203004762115138e-10,Membrane_trace,0.16634369360576218,166.34369360576218,area-weighted native captured primal trace
membrane_substrate_control,1.0,3.203004762115138e-10,Si1_branch_entry,0.1614867492837821,161.4867492837821,area-weighted native captured primal trace
membrane_substrate_control,1.0,3.203004762115138e-10,Si1_branch_exit,0.15000012166702448,150.00012166702447,area-weighted native captured primal trace
membrane_substrate_control,1.0,3.203004762115138e-10,Si2_branch_entry,0.15031277070184773,150.31277070184774,area-weighted native captured primal trace
membrane_substrate_control,1.0,3.203004762115138e-10,Si2_branch_exit,0.1500000913590775,150.0000913590775,area-weighted native captured primal trace
membrane_substrate_control,1.0,3.203004762115138e-10,SiO2_2_bath_side,0.15000000000000568,150.00000000000568,area-weighted native captured primal trace
membrane_substrate_control,1.0,3.203004762115138e-10,bath,0.15000007842610408,150.00007842610407,area-weighted native captured primal trace
membrane_substrate_control,1.05,3.3631550002208954e-10,TES_trace,0.16716097065154864,167.16097065154864,area-weighted native captured primal trace
membrane_substrate_control,1.05,3.3631550002208954e-10,Membrane_trace,0.16716090268575118,167.16090268575118,area-weighted native captured primal trace
membrane_substrate_control,1.05,3.3631550002208954e-10,Si1_branch_entry,0.16206110389701667,162.06110389701666,area-weighted native captured primal trace
membrane_substrate_control,1.05,3.3631550002208954e-10,Si1_branch_exit,0.15000012775055596,150.00012775055598,area-weighted native captured primal trace
membrane_substrate_control,1.05,3.3631550002208954e-10,Si2_branch_entry,0.15032840970388592,150.3284097038859,area-weighted native captured primal trace
membrane_substrate_control,1.05,3.3631550002208954e-10,Si2_branch_exit,0.15000009592716526,150.00009592716526,area-weighted native captured primal trace
membrane_substrate_control,1.05,3.3631550002208954e-10,SiO2_2_bath_side,0.15000000000000568,150.00000000000568,area-weighted native captured primal trace
membrane_substrate_control,1.05,3.3631550002208954e-10,bath,0.15000008234752477,150.00008234752477,area-weighted native captured primal trace
