time_ms,COMSOL_current_A,Elmer_current_A
20.0194375,-9.746619198650305e-14,-8.034329000000797e-09
20.019437500000013,-9.746619198650307e-14,-8.034329000000933e-09
20.019578125,-9.746648415993029e-14,-8.035687653641812e-09
20.01957812500001,-9.746648415993032e-14,-8.035687653641915e-09
20.0197890625,-9.74669212024613e-14,-8.039458952290463e-09
20.019789062500013,-9.746692120246132e-14,-8.039458952290718e-09
20.019841796875,-9.74670311049862e-14,-8.040147306368093e-09
20.01984179687501,-9.746703110498623e-14,-8.040147306368232e-09
20.0199208984375,-9.746719452940546e-14,-8.04180890731924e-09
20.019920898437512,-9.746719452940549e-14,-8.041808907319464e-09
20.019940673828124,-9.746723545168473e-14,-8.042277175321709e-09
20.019940673828135,-9.746723545168475e-14,-8.042277175321962e-09
20.019970336914064,-9.746729760272723e-14,-8.042891857075588e-09
20.019970336914074,-9.746729760272726e-14,-8.04289185707581e-09
20.01997775268555,-9.746731287579006e-14,-8.04304058248143e-09
20.019977752685563,-9.746731287579009e-14,-8.043040582481715e-09
20.019988876342772,-9.74673359309681e-14,-8.043253782327674e-09
20.019988876342786,-9.746733593096812e-14,-8.043253782327947e-09
20.01999165725708,-9.746734154256137e-14,-8.043307293559578e-09
20.019991657257094,-9.74673415425614e-14,-8.043307293559851e-09
20.019995828628538,-9.746735051581666e-14,-8.04338779180335e-09
20.01999582862855,-9.746735051581667e-14,-8.043387791803556e-09
20.019996871471402,-9.746735234223145e-14,-8.043407883018284e-09
20.019996871471413,-9.746735234223147e-14,-8.043407883018489e-09
20.0199984357357,-9.746735549213522e-14,-8.043437922899457e-09
20.01999843573571,-9.746735549213525e-14,-8.043437922899662e-09
20.01999882680178,-9.746735628622861e-14,-8.043445399274866e-09
20.019999413400885,-9.746735745089891e-14,-8.043456613837808e-09
20.019999560050664,-9.746735774206649e-14,-8.043459417478578e-09
20.019999560050675,-9.746735774206651e-14,-8.043459417478782e-09
20.019999780025334,-9.746735816558296e-14,-8.043463616145454e-09
20.019999835018996,-9.746735821852252e-14,-8.043464665812088e-09
