time_ms,COMSOL_L_A,COMSOL_R_A,Elmer_L_A,Elmer_R_A
24.67600100000145,1.128980898673286e-08,4.0817898968837585e-08,-4.466415127335618e-07,-4.4272211620168043e-07
24.68100100000145,1.1279804809302079e-08,4.080798309056484e-08,-4.466014863773902e-07,-4.427221565938763e-07
24.686001000001454,1.1269800631871299e-08,4.079806721229208e-08,-4.4655758328106254e-07,-4.4271898164542655e-07
24.691001000001453,1.1259796454440522e-08,4.078815133401934e-08,-4.4652801600887507e-07,-4.4271616087573993e-07
24.696001000001456,1.1249792277009742e-08,4.0778235455746595e-08,-4.464884330979786e-07,-4.426950828329186e-07
24.701001000001458,1.1239788099578962e-08,4.076831957747384e-08,-4.464622942280201e-07,-4.42689866334353e-07
24.706001000001457,1.1229783922148189e-08,4.07584036992011e-08,-4.4643691498100343e-07,-4.426845614550687e-07
24.71100100000146,1.1219779744717409e-08,4.074848782092835e-08,-4.46409219546516e-07,-4.426769464906371e-07
24.716001000001462,1.1209775567286628e-08,4.0738571942655606e-08,-4.463724836633817e-07,-4.426675123939854e-07
24.721001000001465,1.1199771389855845e-08,4.072865606438285e-08,-4.463368301286781e-07,-4.4266500817642185e-07
24.726001000001464,1.1189767212425072e-08,4.071874018611011e-08,-4.463048873182751e-07,-4.4266742685967683e-07
24.731001000001466,1.1179763034994291e-08,4.0708824307837364e-08,-4.46265018109104e-07,-4.4266693931594206e-07
24.73600100000147,1.1169758857563511e-08,4.069890842956461e-08,-4.462251451645041e-07,-4.426585576460722e-07
24.741001000001468,1.1159754680132738e-08,4.068899255129187e-08,-4.461892619391579e-07,-4.426432513291215e-07
24.74600100000147,1.1149750502701958e-08,4.067907667301912e-08,-4.4616280453379955e-07,-4.4263612764076357e-07
24.751001000001473,1.1139746325271174e-08,4.066916079474637e-08,-4.461305548688927e-07,-4.4262445185450344e-07
24.756001000001476,1.1129742147840394e-08,4.0659244916473614e-08,-4.460934097976399e-07,-4.4262327381959315e-07
24.761001000001475,1.1119737970409621e-08,4.064932903820088e-08,-4.460487995689073e-07,-4.426169167262204e-07
24.766001000001477,1.110973379297884e-08,4.0639413159928125e-08,-4.460179649766764e-07,-4.4260728399692735e-07
24.77100100000148,1.109972961554806e-08,4.062949728165538e-08,-4.459974054681266e-07,-4.4259715542349165e-07
24.77600100000148,1.1089725438117287e-08,4.061958140338264e-08,-4.4598129925942044e-07,-4.4258359604474706e-07
24.78100100000148,1.1079721260686504e-08,4.0609665525109883e-08,-4.45955496726296e-07,-4.42572325637234e-07
24.786001000001484,1.1069717083255724e-08,4.0599749646837136e-08,-4.459288357917411e-07,-4.4256003889109633e-07
24.791001000001486,1.1059712905824944e-08,4.058983376856438e-08,-4.459079267322909e-07,-4.425510673407057e-07
