case,side,parent_element,element_type,face_area_m2,edge_min_m,edge_max_m,element_depth_m,element_volume_m3,element_aspect_ratio,face_node_count,K_ff_trace_W_K,K_fi_fro_W_K,K_ii_trace_W_K,K_condensed_trace_W_K,K_condensed_fro_W_K,condensation
historical,substrate_side,383116,504,5.419917792572528e-11,1.0945819075776286e-05,1.1707593747277408e-05,4.445798606749987e-06,3.212781729455805e-16,1.8086907183117562,3,2.8831923630246174e-11,1.72592465987496e-12,2.733793347161787e-12,2.774229630539476e-11,1.969708811784599e-11,solve
historical,substrate_side,379536,504,5.069263639283653e-11,1.0384808732878569e-05,1.1707593747277408e-05,1.7823251825000179e-06,1.2046768321369145e-16,1.655630414376044,3,2.1807701610132896e-11,8.219408513175836e-12,6.377944024763663e-12,1.1215153910724256e-11,8.027372301355793e-12,solve
historical,substrate_side,123799,504,5.745297789588088e-11,1.120378304991518e-05,1.174783907016245e-05,1.7823251824999908e-06,1.3653318575125807e-16,1.6698578727134523,3,1.6171290063128152e-11,6.058076423242616e-12,7.228503055873613e-12,1.1094126829444969e-11,7.857396447370679e-12,solve
historical,substrate_side,265126,504,5.2417523124756895e-11,1.0371287532577972e-05,1.1680241828890839e-05,1.7823251824999908e-06,1.2456676195937404e-16,1.4615270379660419,3,1.5847919276236755e-11,5.547977263222066e-12,6.594962349476411e-12,1.1180712690034986e-11,7.979183233918773e-12,solve
historical,substrate_side,364865,504,4.870840068157273e-11,9.63378801446443e-06,1.1340105560971275e-05,1.7823251825000179e-06,1.157522788454232e-16,1.2401743210394618,3,1.3338248510476184e-11,3.5445293414068197e-12,6.1282954525271255e-12,1.1288137129682203e-11,8.12902630588996e-12,solve
historical,substrate_side,43834,504,6.315454700506411e-11,1.1578732082485204e-05,1.289023868457928e-05,4.445798606749987e-06,3.7436319611338773e-16,2.0087144133756882,3,3.2512884312022256e-11,3.8445163984500495e-12,3.1854999845581084e-12,2.787301414733862e-11,1.9880774473938907e-11,solve
historical,substrate_side,391685,504,3.897342953419377e-11,8.41053094232085e-06,1.2263985430834896e-05,1.7823251824999906e-06,9.261776654290983e-17,1.8083100513779342,3,2.95189806122805e-11,9.10818985291993e-12,4.903480460078884e-12,1.260056458671751e-11,9.87082857349778e-12,solve
historical,substrate_side,132602,504,5.775902989357131e-11,1.0797670669552263e-05,1.2240650011805828e-05,1.7823251824999908e-06,1.3726049799477634e-16,1.882014567311916,3,2.0190364259222588e-11,8.08586576017876e-12,7.267009289694482e-12,1.1193372170007853e-11,7.996912489182781e-12,solve
historical,substrate_side,131264,504,6.809056060263365e-11,1.2036553263795703e-05,1.3499709250532239e-05,1.7823251824999908e-06,1.618126944701551e-16,1.741073062444324,3,1.631327557462785e-11,6.6194971875612306e-12,8.566881011533725e-12,1.1198491914490805e-11,8.004077084977207e-12,solve
historical,substrate_side,371360,504,5.3844969589589594e-11,1.0919748519842967e-05,1.1358781567157141e-05,1.7823251824999908e-06,1.279589936672958e-16,1.6636493397204521,3,1.584338328992157e-11,5.676013480834252e-12,6.7745579337442294e-12,1.1087777189907589e-11,7.848428622111355e-12,solve
historical,substrate_side,375156,504,5.910234786881849e-11,1.0919748519842967e-05,1.2382121074847875e-05,1.7823251824999908e-06,1.4045280393529347e-16,1.4358515117725392,3,1.5567226137786866e-11,5.7026360155652645e-12,7.4360201651043e-12,1.1193911272580883e-11,7.997667059946587e-12,solve
historical,substrate_side,236289,504,5.567900437808944e-11,1.0810928749285735e-05,1.269739026325137e-05,1.7823251824999908e-06,1.3231745551946174e-16,2.2164667091209687,3,2.4309989967943532e-11,9.524337628479928e-12,7.005308828802721e-12,1.1360809642258672e-11,8.229643039098352e-12,solve
