time_s,time_step,nonlinear_iter,tes_temperature_K,previous_current_A,raw_current_A,tes_resistance_ohm,raw_power_W,residual_W,omega,omega_cap,relaxed_power_W
  2.0069285775805853E-02,7,6,  1.6861986864008996E-01,  1.4349990222400162E-04,  1.4181399722803403E-04,  1.5767325602266229E-02,  3.1709999332649445E-10, -1.5634289780435514E-12,  3.5701250000000012E-01,  3.5701250000000012E-01,  3.1810525861651424E-10
  2.0069285775805853E-02,7,7,  1.6861491677409973E-01,  1.4349990222400162E-04,  1.4198472802429759E-04,  1.5743247038466739E-02,  3.1737855469739724E-10, -7.2670391911700421E-13,  4.6411625000000017E-01,  4.6411625000000017E-01,  3.1776798351871334E-10
  2.0069285775805853E-02,7,8,  1.6861097726259466E-01,  1.4349990222400162E-04,  1.4212061513558619E-04,  1.5724123907485212E-02,  3.1760008834898767E-10, -1.6789516972566555E-13,  6.0335112500000021E-01,  6.0335112500000021E-01,  3.1766668377917728E-10
  2.0069285775805853E-02,7,9,  1.6860860144360820E-01,  1.4349990222400162E-04,  1.4220259099702857E-04,  1.5712605276991309E-02,  3.1773365569226305E-10,  6.6971913085770657E-14,  4.3130667066433953E-01,  7.8435646250000035E-01,  3.1769556921203831E-10
  2.0069285775805853E-02,7,10,  1.6860791024092078E-01,  1.4349990222400162E-04,  1.4222644407277380E-04,  1.5709256116406708E-02,  3.1777250994707388E-10,  7.6940735035567124E-14,  2.0000000000000000E-02,  1.0000000000000000E+00,  3.1769710802673904E-10
  2.0103728663708780E-02,8,1,  1.6860812660618890E-01,  1.4222644407277380E-04,  1.4221430567667740E-04,  1.5707762534928164E-02,  3.1768806376436735E-10, -9.0442623716857953E-15,  2.0000000000000000E-02,  5.0000000000000000E-01,  3.1769692714149161E-10
  2.0103728663708780E-02,8,2,  1.6860813382768061E-01,  1.4222644407277380E-04,  1.4221405645849084E-04,  1.5707797521695155E-02,  3.1768765792569798E-10, -9.2692157936308163E-15,  2.0000000000000000E-02,  6.5000000000000002E-01,  3.1769674175717575E-10
  2.0103728663708780E-02,8,3,  1.6867167007056605E-01,  1.4222644407277380E-04,  1.4002837876309741E-04,  1.6019426205902729E-02,  3.1410805775735661E-10, -3.5886839998191321E-12,  2.0000000000000000E-02,  3.2500000000000001E-01,  3.1762496807717937E-10
  2.0103728663708780E-02,8,4,  1.6867081938930764E-01,  1.4222644407277380E-04,  1.4005754935624668E-04,  1.6015203094218958E-02,  3.1415609978380262E-10, -3.4688682933767501E-12,  4.2250000000000004E-01,  4.2250000000000004E-01,  3.1615937122322772E-10
  2.0103728663708780E-02,8,5,  1.6867028385063879E-01,  1.4222644407277380E-04,  1.4007591474830740E-04,  1.6012545185240784E-02,  3.1418634264630165E-10, -1.9730285769260724E-12,  5.4925000000000013E-01,  5.4925000000000013E-01,  3.1507568527735110E-10
  2.0103728663708780E-02,8,6,  1.6865975086028789E-01,  1.4222644407277380E-04,  1.4043733116551080E-04,  1.5960381083668360E-02,  3.1478091397638546E-10, -2.9477130096563432E-13,  6.4572098771713682E-01,  7.1402500000000024E-01,  3.1488534526174092E-10
  2.0103728663708780E-02,8,7,  1.6865210085301163E-01,  1.4222644407277380E-04,  1.4070006870417736E-04,  1.5922627764431402E-02,  3.1521244915018700E-10,  3.2710388844608249E-13,  3.0607430373649924E-01,  9.2823250000000035E-01,  3.1498546335664656E-10
  2.0103728663708780E-02,8,8,  1.6865083784067575E-01,  1.4222644407277380E-04,  1.4074346625949082E-04,  1.5916405440685247E-02,  3.1528367122137150E-10,  2.9820786472493872E-13,  1.0000000000000000E+00,  1.0000000000000000E+00,  3.1528367122137150E-10
  2.0103728663708780E-02,8,9,  1.6865157749110046E-01,  1.4222644407277380E-04,  1.4071805092917501E-04,  1.5920049014691448E-02,  3.1524196269614654E-10, -4.1708525224958177E-14,  8.7729769302649407E-01,  1.0000000000000000E+00,  3.1524708042841208E-10
  2.0103728663708780E-02,8,10,  1.6865371310915406E-01,  1.4222644407277380E-04,  1.4064467912061851E-04,  1.5930575078466930E-02,  3.1512152301998533E-10, -1.2555740842675207E-13,  2.0000000000000000E-02,  5.0000000000000000E-01,  3.1524456928024355E-10
  2.0172614439514635E-02,9,1,  1.6865342209164985E-01,  1.4064467912061851E-04,  1.4064884361120647E-04,  1.5925966462344524E-02,  3.1504901670807448E-10, -1.9555257216907672E-13,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.1522501402302662E-10
  2.0172614439514635E-02,9,2,  1.6865340122601577E-01,  1.4064467912061851E-04,  1.4064956176318405E-04,  1.5925864319916813E-02,  3.1505021338021827E-10, -1.7480064280835119E-13,  3.2500000000000001E-01,  3.2500000000000001E-01,  3.1516820381411388E-10
  2.0172614439514635E-02,9,3,  1.6875489275026698E-01,  1.4064467912061851E-04,  1.3717467091311285E-04,  1.6432613694656741E-02,  3.0921068989392332E-10, -5.9575139201905619E-12,  2.0000000000000000E-02,  1.6250000000000001E-01,  3.1504905353571008E-10
  2.0172614439514635E-02,9,4,  1.6875240876380654E-01,  1.4064467912061851E-04,  1.3725927652708127E-04,  1.6419970759419721E-02,  3.0935403876503462E-10, -5.6950147706754601E-12,  2.1125000000000002E-01,  2.1125000000000002E-01,  3.1384598166540490E-10
