% Model:              1D_PoST5400um_12.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 4 2026, 19:00
% Table:              プローブテーブル 2 - 
% Time (ms)              温度 (K), 吸収体              温度 (K), TES              ec.Jx*nx (A)             ec.Jx*nx (A)
0.361                    0.16154862332986622      0.1615248776742913       -1.0613228753561373E-4   -1.0617589088054858E-4
0.36200000000000004      0.1615486232240651       0.1615248792469949       -1.0613201324164085E-4   -1.0617582903301881E-4
0.363                    0.16154862311761645      0.16152488082921682      -1.0613173898420252E-4   -1.0617576681116856E-4
0.364                    0.16154862301051698      0.1615248824209581       -1.0613146476329858E-4   -1.0617570421499858E-4
0.365                    0.16154862290276797      0.16152488402222076      -1.0613119057892889E-4   -1.0617564124450947E-4
0.366                    0.1615486227943291       0.16152488562876346      -1.0613091793029445E-4   -1.061755780663767E-4
0.367                    0.16154862268514675      0.16152488723498987      -1.0613064879932948E-4   -1.0617551490094452E-4
0.368                    0.16154862257531125      0.16152488885001812      -1.0613037995839271E-4   -1.0617545138938027E-4
0.36900000000000005      0.16154862246481697      0.16152489047385057      -1.0613011140748238E-4   -1.0617538753168413E-4
0.37                     0.16154862235366615      0.16152489210648374      -1.061298431465962E-4    -1.061753233278573E-4
0.371                    0.1615486222418586       0.16152489374792237      -1.0612957517573194E-4   -1.0617525877789986E-4
0.372                    0.1615486221293954       0.16152489539816176      -1.0612930749488678E-4   -1.0617519388181282E-4
0.373                    0.16154862201627554      0.16152489705720474      -1.061290401040592E-4    -1.0617512863959665E-4
0.374                    0.1615486219024999       0.16152489872505046      -1.0612877300324701E-4   -1.0617506305125206E-4
0.375                    0.16154862178806859      0.16152490040169912      -1.0612850619244755E-4   -1.0617499711677965E-4
0.37600000000000006      0.16154862167298104      0.16152490208714984      -1.0612823967165883E-4   -1.0617493083618017E-4
0.377                    0.1615486215572343       0.16152490378140524      -1.061279734408785E-4    -1.0617486420945408E-4
0.378                    0.1615486214408341       0.16152490548446227      -1.0612770750010459E-4   -1.0617479723660225E-4
0.379                    0.16154862132377623      0.16152490719632134      -1.0612744184933474E-4   -1.0617472991762537E-4
0.38                     0.1615486212060635       0.1615249089169842       -1.0612717648856696E-4   -1.0617466225252383E-4
0.381                    0.1615486210876924       0.16152491064645041      -1.0612691141779866E-4   -1.0617459424129867E-4
0.382                    0.16154862096866657      0.1615249123847183       -1.061266466370278E-4    -1.0617452588395013E-4
0.38300000000000006      0.16154862084898258      0.16152491413178954      -1.061263821462524E-4    -1.0617445718047934E-4
0.384                    0.16154862072864398      0.16152491588766293      -1.0612611794546991E-4   -1.0617438813088681E-4
0.385                    0.16154862060764838      0.1615249176523404       -1.0612585403467853E-4   -1.0617431873517292E-4
0.386                    0.16154862048599555      0.16152491942582084      -1.0612559041387555E-4   -1.0617424899333884E-4
0.387                    0.16154862036368758      0.16152492120810324      -1.0612532708305943E-4   -1.0617417890538508E-4
0.388                    0.16154862024072233      0.1615249229991883       -1.0612506404222746E-4   -1.0617410847131229E-4
0.389                    0.16154862011710258      0.16152492479907765      -1.0612480129137767E-4   -1.06174037691121E-4
0.39000000000000007      0.1615486199928252       0.16152492660776743      -1.0612453883050806E-4   -1.0617396656481216E-4
0.391                    0.16154861986789085      0.16152492842526223      -1.0612427665961608E-4   -1.0617389509238647E-4
0.392                    0.16154861974230095      0.16152493025155837      -1.0612401477869968E-4   -1.0617382327384465E-4
0.393                    0.16154861961605485      0.16152493208665863      -1.0612375318775678E-4   -1.0617375110918719E-4
0.394                    0.161548619489153        0.16152493393055972      -1.0612349188678521E-4   -1.0617367859841494E-4
0.395                    0.16154861936159148      0.16152493578326554      -1.061232308757825E-4    -1.0617360574152873E-4
0.396                    0.16154861923337707      0.16152493764477358      -1.0612297015474704E-4   -1.0617353253852906E-4
0.3970000000000001       0.16154861910450602      0.16152493951508437      -1.0612270972367639E-4   -1.0617345898941673E-4
0.398                    0.16154861897497685      0.16152494139419774      -1.0612244958256815E-4   -1.0617338509419289E-4
0.399                    0.16154861884479302      0.1615249432821148       -1.0612218973142028E-4   -1.0617331085285745E-4
0.4                      0.16154861871395343      0.16152494517883506      -1.0612193017023101E-4   -1.061732362654119E-4
0.401                    0.16154861858245584      0.1615249470843569       -1.0612167089899795E-4   -1.0617316133185651E-4
0.402                    0.16154861845030188      0.1615249489986819       -1.0612141191771883E-4   -1.0617308605219224E-4
0.403                    0.16154861831749157      0.16152495092180916      -1.0612115322639141E-4   -1.0617301042641968E-4
0.404                    0.16154861818432992      0.1615249528234754       -1.061208970379356E-4    -1.0617293564438199E-4
0.405                    0.1615486180506995       0.16152495471527062      -1.061206425046735E-4    -1.0617286125030722E-4
0.4060000000000001       0.16154861791643857      0.16152495661341934      -1.0612038844044293E-4   -1.0617278660642403E-4
0.40700000000000003      0.1615486177815452       0.16152495851792062      -1.0612013484524012E-4   -1.0617271171273338E-4
0.40800000000000003      0.16154861764601758      0.16152496042877665      -1.0611988171906174E-4   -1.0617263656923545E-4
0.40900000000000003      0.16154861750986155      0.16152496234598485      -1.0611962906190442E-4   -1.0617256117593103E-4
0.41000000000000003      0.16154861737307177      0.16152496426954688      -1.0611937687376483E-4   -1.0617248553282031E-4
0.41100000000000003      0.16154861723565264      0.1615249661994615       -1.0611912515463967E-4   -1.0617240963990429E-4
0.41200000000000003      0.16154861709759882      0.16152496813573072      -1.0611887390452516E-4   -1.0617233349718307E-4
0.4130000000000001       0.1615486169589151       0.16152497007835073      -1.0611862312341863E-4   -1.0617225710465762E-4
0.41400000000000003      0.16154861681959967      0.16152497202732552      -1.061183728113159E-4    -1.0617218046232816E-4
0.41500000000000004      0.16154861667965065      0.16152497398265453      -1.0611812296821408E-4   -1.0617210357019529E-4
0.41600000000000004      0.16154861653907374      0.16152497594433557      -1.0611787359411002E-4   -1.0617202642825969E-4
0.417                    0.161548616397862        0.16152497791237014      -1.0611762468899942E-4   -1.0617194903652184E-4
0.418                    0.16154861625601954      0.1615249798867589       -1.061173762528801E-4    -1.0617187139498206E-4
0.419                    0.16154861611354407      0.1615249818675          -1.0611712828574818E-4   -1.0617179350364145E-4
0.42000000000000004      0.16154861597043968      0.1615249838545939       -1.0611688078760019E-4   -1.0617171536249992E-4
0.421                    0.1615486158267013       0.16152498584804248      -1.0611663375843324E-4   -1.0617163697155882E-4
0.422                    0.16154861568233242      0.16152498784784333      -1.0611638719824348E-4   -1.0617155833081792E-4
0.423                    0.16154861553733213      0.16152498985399721      -1.0611614110702796E-4   -1.0617147944027829E-4
0.424                    0.16154861539169746      0.161524991866505        -1.0611589548478344E-4   -1.0617140029994011E-4
0.425                    0.1615486152454326       0.16152499388536554      -1.0611565033150638E-4   -1.0617132090980418E-4
0.426                    0.16154861509853571      0.16152499591057928      -1.0611540564719347E-4   -1.0617124126987101E-4
0.42700000000000005      0.16154861495100875      0.1615249979421465       -1.061151614318418E-4    -1.0617116138014142E-4
0.428                    0.16154861480284893      0.16152499998006645      -1.0611491768544735E-4   -1.0617108124061571E-4
0.429                    0.16154861465405668      0.16152500202434067      -1.0611467440800791E-4   -1.061710008512944E-4
0.43                     0.1615486145046336       0.16152500407496803      -1.0611443159951931E-4   -1.0617092021217813E-4
0.431                    0.1615486143545792       0.16152500613194767      -1.0611418925997847E-4   -1.0617083932326766E-4
0.432                    0.16154861420389346      0.16152500819528143      -1.0611394738938251E-4   -1.0617075818456332E-4
0.433                    0.16154861405257476      0.16152501026496757      -1.0611370598772789E-4   -1.0617067679606604E-4
0.43400000000000005      0.16154861390062522      0.1615250123410081       -1.0611346505501134E-4   -1.061705951577759E-4
0.435                    0.16154861374804175      0.1615250144234021       -1.0611322459122976E-4   -1.0617051326969366E-4
0.43600000000000005      0.16154861359482994      0.16152501651214796      -1.061129845963801E-4    -1.0617043113182023E-4
0.437                    0.1615486134409857       0.16152501860724786      -1.0611274507045839E-4   -1.0617034874415584E-4
0.438                    0.16154861328650905      0.1615250207087013       -1.061125060134623E-4    -1.0617026610670138E-4
0.439                    0.1615486131314          0.16152502281650752      -1.0611226742538817E-4   -1.0617018321945706E-4
0.44                     0.16154861297565887      0.16152502493066798      -1.0611202930623283E-4   -1.0617010008242378E-4
0.441                    0.16154861281928726      0.16152502705118013      -1.0611179165599316E-4   -1.0617001669560186E-4
0.442                    0.16154861266228296      0.1615250291780458       -1.061115544746661E-4    -1.0616993305899231E-4
0.44300000000000006      0.16154861250464675      0.1615250313112656       -1.0611131776224801E-4   -1.061698491725954E-4
0.444                    0.16154861234638004      0.16152503345083905      -1.0611108151873611E-4   -1.0616976503641174E-4
0.445                    0.16154861218748237      0.16152503559676368      -1.0611084574412717E-4   -1.0616968065044201E-4
0.446                    0.16154861202795018      0.16152503774904314      -1.0611061043841788E-4   -1.0616959601468695E-4
0.447                    0.16154861186779013      0.16152503990767592      -1.0611037560160547E-4   -1.0616951112914698E-4
0.448                    0.16154861170699317      0.16152504207266152      -1.0611014123368616E-4   -1.0616942599382261E-4
0.449                    0.16154861154556874      0.1615250442440007       -1.0610990733465736E-4   -1.061693406087149E-4
0.45000000000000007      0.1615486113835112       0.1615250464216923       -1.0610967390451536E-4   -1.0616925497382369E-4
0.451                    0.16154861122082356      0.1615250486057391       -1.0610944094325749E-4   -1.061691690891504E-4
0.452                    0.16154861105750187      0.16152505079613633      -1.0610920845088067E-4   -1.0616908295469534E-4
0.453                    0.16154861089354916      0.16152505299288936      -1.061089764273815E-4    -1.0616899657045884E-4
0.454                    0.1615486107289652       0.16152505519599403      -1.0610874487275693E-4   -1.06168909936442E-4
0.455                    0.1615486105637506       0.1615250574054523       -1.0610851378700404E-4   -1.061688230526451E-4
