case,interface,constraint_row_id,master_side,slave_side,master_boundary,slave_boundary,associated_primal_dofs,associated_primal_nodes,multiplier_value,multiplier_units,slave_reaction_W,master_reaction_W,reaction_balance_W,sign_convention
historical,Stycast_to_substrate,627,Pb,Stycast,28,27,13715;13769;13771;13772;13824;13826;13827;136321;136562;136563;136564;136565;139753;139754;139755;139756;139758;139761;139762;140008,70393;70465;67804;67241;68324;65979;64882;70896;70874;70800;68818;65938;68059;67945;66179;65328;64700;68854;66185;62815,-7.722916799736983e-08,W/m^2 (Galerkin area-weighted thermal constraint),-8.689236845949177e-18,8.68923684594918e-18,3.0814879110195774e-33,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,628,Pb,Stycast,28,27,13840;13841;13842;13843;13893;13894;13895;13948;13949;136262;136265;136287;139674;139675;139684;139685;139704;139705;139706;139729;139730;143030;143044;143045;143047;143049;143051,71031;70159;69611;66857;69078;67903;64759;65814;64579;72157;70515;69549;67602;66167;74051;73315;70888;70697;68886;66385;64847;61286;68675;68280;66168;63480;64289,-2.162942619794004e-08,W/m^2 (Galerkin area-weighted thermal constraint),-4.010381989778237e-18,4.010381981203122e-18,-8.575115254978704e-27,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,629,Pb,Stycast,28,27,13995;14004;14048;14049;14055;14095;136411;139835;139837;139838;139839;139840;139841;139842;139843;139844,70749;69823;67981;67693;66629;65718;64762;64970;69934;71184;70600;68855;67197;67185;67104;66337,7.199817414690003e-08,W/m^2 (Galerkin area-weighted thermal constraint),6.543170659321836e-18,-6.543170659321839e-18,-3.0814879110195774e-33,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,630,Pb,Stycast,28,27,13872;13873;13874;13928;13929;13930;13980;136298;139065;139737;139738;139994;139995;142557;143110;143121;143123,71317;69924;67357;69381;68035;65411;66669;71611;70357;70072;68582;67495;65637;65761;65884;63315;63049,-8.55353134478283e-09,W/m^2 (Galerkin area-weighted thermal constraint),-1.016108458484143e-18,1.0161084584841426e-18,-3.851859888774472e-34,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,631,Pb,Stycast,28,27,14028;14029;14030;14080;14081;14082;14128;136404;139426;139427;139428;139429;139430;139827;139828;139829;139830;139854;142844;142845;143193,70512;70275;69140;68122;67482;66227;65164;71888;72198;70313;69948;67198;67770;68137;65465;65841;63308;66077;70597;68661;63591,7.240880551535671e-08,W/m^2 (Galerkin area-weighted thermal constraint),8.682491829352597e-18,-8.682491829352599e-18,-1.5407439555097887e-33,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,632,Pb,Stycast,28,27,13891;13892;13945;13946;13947;13999;14000;139673;139687;139688;139689;139705;139823;139825;143025;143026;143045;143047;143048;146110,70550;70052;69514;68217;67023;66702;65566;69005;71930;71231;69984;70697;70643;68041;67270;66245;68280;66168;66037;64780,2.418502680854026e-08,W/m^2 (Galerkin area-weighted thermal constraint),2.595788002945598e-18,-2.595788002945598e-18,0.0,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,633,Pb,Stycast,28,27,13976;13977;14030;14031;14032;14035;14083;136341;136343;136344;136556;136557;136558;136559;139428;139429;139430;140002;140004,71065;70252;69140;68250;67097;66743;65533;71435;70980;70706;68778;69418;66756;66146;69948;67198;67770;64921;63913,4.986628345474298e-08,W/m^2 (Galerkin area-weighted thermal constraint),6.1187604737447124e-18,-6.118760473744714e-18,-1.5407439555097887e-33,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,634,Pb,Stycast,28,27,13768;13769;13770;13771;13824;13825;13826;13876;136312;136319;136321;136563;139751;139753;139754;139755;139756;139760;139761;139762;140007;143118,71510;70465;69891;67804;68324;67057;65979;65302;74047;73547;70896;70800;71032;68059;67945;66179;65328;69271;68854;66185;65466;63537,-6.01306356124923e-08,W/m^2 (Galerkin area-weighted thermal constraint),-9.00378720843965e-18,9.003787208439645e-18,-4.622231866529366e-33,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,635,Pb,Stycast,28,27,14047;14072;14092;14094;14119;14138;14140;14141;136203;136205;136414;136423;139641;139642;139652;139655;139831;139832;139865;139866;139867;139872;139875,70869;71700;67635;68358;68985;66028;66378;65636;73060;71701;70895;68782;71657;69541;69938;69169;67295;67118;66704;64764;64800;66339;63658,1.0075400585484338e-07,W/m^2 (Galerkin area-weighted thermal constraint),1.7458266910194587e-17,-1.7458266910194597e-17,-9.244463733058732e-33,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,636,Pb,Stycast,28,27,13926;13927;13928;13978;13979;13980;14033;14034;136297;136342;136344;136555;136556;136559;139736;139737;139738;139739;139997;139998;140005;143110,71264;71230;69381;68817;68403;66669;66329;64688;72183;72500;70706;68417;68778;66146;70596;70072;68582;68045;65883;63525;63631;65884,1.8018371084057107e-08,W/m^2 (Galerkin area-weighted thermal constraint),3.080479864960175e-18,-3.0804798649601745e-18,3.851859888774472e-34,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,637,Pb,Stycast,28,27,14115;14116;14120;14163;14164;14168;14205;135995;136412;136428;136430;136431;139479;139480;139481;139855;139856;139858;139859;139861;139869;143225,71353;70932;69309;68451;67428;65882;65121;73873;66981;72691;70675;68251;71936;70882;69548;69572;68916;66754;64843;65946;65835;64261,1.1207568665778393e-07,W/m^2 (Galerkin area-weighted thermal constraint),2.0697379434731672e-17,-2.0697379434731675e-17,-3.0814879110195774e-33,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,638,Pb,Stycast,28,27,13944;13996;13997;13998;14049;14050;139667;139823;139824;139825;139837;139840;139843;139844;139845;143027;143028,69982;70586;68502;67390;67693;66070;71875;70643;70592;68041;69934;68855;67104;66337;64453;65462;63843,5.1766484829089736e-08,W/m^2 (Galerkin area-weighted thermal constraint),3.725452101597071e-18,-3.725452101597069e-18,2.311115933264683e-33,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,639,Pb,Stycast,28,27,13659;13715;13716;13772;13773;136307;136309;136562;136563;136564;136565;136584;136588;139754,71132;70393;68570;67241;65599;73518;70885;70874;70800;68818;65938;66860;64262;67945,-8.776453326524656e-08,W/m^2 (Galerkin area-weighted thermal constraint),-4.993496007450532e-18,4.993496007450531e-18,-7.703719777548943e-34,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,640,Pb,Stycast,28,27,13733;13787;13788;13789;13842;13843;132762;132763;132765;136265;136287;136289;136293;139674;139729;139730,68762;70792;68633;66528;69611;66857;71796;71440;71099;70515;69549;68668;65377;67602;66385;64847,-5.477725335335719e-08,W/m^2 (Galerkin area-weighted thermal constraint),-4.132804691848431e-18,4.132804691848428e-18,-3.0814879110195774e-33,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,641,Pb,Stycast,28,27,13732;13733;13734;13787;13788;13789;132763;132765;136283;136285;136287;136289;136292;136293;136862;139729,70194;68762;66440;70792;68633;66528;71440;71099;70642;68166;69549;68668;65885;65377;66804;66385,-6.956138172738444e-08,W/m^2 (Galerkin area-weighted thermal constraint),-6.3964765344093436e-18,6.396476534409349e-18,5.3926038442842604e-33,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,642,Pb,Stycast,28,27,13926;13977;13978;13979;14032;14033;135942;136342;136343;136344;136555;136556;136557;136558;136559;139736;139739;139997,71264;70252;68817;68403;67097;66329;72974;72500;70980;70706;68417;68778;69418;66756;66146;70596;68045;65883,3.26424509708667e-08,W/m^2 (Galerkin area-weighted thermal constraint),2.977045436362931e-18,-2.977045436362931e-18,0.0,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,643,Pb,Stycast,28,27,14075;14076;14077;14122;14123;14124;14171;139459;139461;139462;139853;139860;139863;139864;139878;142868;142869;143213;143214;143216,71177;70310;70346;68851;67596;67544;64959;71933;70694;69730;68134;65939;70708;68467;63341;69093;67861;65767;65932;63048,9.912531872562689e-08,W/m^2 (Galerkin area-weighted thermal constraint),1.1015977531017143e-17,-1.1015977531017145e-17,-1.5407439555097887e-33,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
