case,parent_element,element_type,face_area_m2,edge_min_m,edge_max_m,element_depth_m,element_volume_m3,element_aspect_ratio,face_node_count,K_ff_trace_W_K,K_fi_fro_W_K,K_ii_trace_W_K,K_condensed_trace_W_K,K_condensed_fro_W_K,condensation
mesh_phase24_stycast_density_10um,242449,504,4.3300202127050886e-11,9.99963001489976e-06,1.0000000009039865e-05,1.5625000000002074e-07,9.020875443135616e-18,2.0668189596289444,3,3.3406742585826525e-10,1.438736671256576e-10,6.214306448628559e-11,9.710093345396809e-13,6.866072858839323e-13,solve
mesh_phase24_stycast_density_10um,241444,504,4.330127018966905e-11,9.999999999878809e-06,1.0000000000158279e-05,1.5624999999999363e-07,9.021097956181083e-18,1.9597294500078322,3,8.812276638466867e-11,7.359355168111427e-11,6.214459733556685e-11,9.710093333582056e-13,6.866072842130161e-13,solve
mesh_phase24_stycast_density_10um,240610,504,4.330127019007415e-11,9.999999999978291e-06,1.0000000000158645e-05,1.0245416925001231e-07,5.915194219725055e-18,1.9733868236925545,3,2.6881483054591313e-10,1.5942578561762868e-10,9.477499456443818e-11,6.366973093325364e-13,4.502129849922684e-13,solve
mesh_phase24_stycast_density_10um,232931,504,4.3301270190479434e-11,1.0000000000077757e-05,1.0000000000199489e-05,1.5625000000002074e-07,9.021097956349918e-18,1.9300596933272272,3,2.567262654146544e-10,1.2607064450507477e-10,6.214459733673203e-11,9.710093333582089e-13,6.8660728421301e-13,solve
mesh_phase24_stycast_density_10um,236824,504,4.330127018966905e-11,9.999999999878809e-06,1.0000000000158279e-05,9.414859550001611e-08,5.4356716956309066e-18,17.847661187979092,3,1.1175101763867119e-10,1.0707563087985e-10,1.0313582780619011e-10,5.850826556995715e-13,4.1371591339980786e-13,solve
mesh_phase24_stycast_density_10um,236661,504,4.400408626948191e-11,9.993584322441324e-06,1.0131263905487583e-05,1.5625000000002074e-07,9.167517972808763e-18,3.0685142699390195,3,8.040088117096779e-11,7.082545971470303e-11,6.315325648319972e-11,9.711569866976578e-13,6.868160816967515e-13,solve
mesh_phase24_stycast_density_10um,231861,504,4.3301270190074406e-11,9.999999999978288e-06,1.0000000000158642e-05,1.5625000000002074e-07,9.0210979562655e-18,2.112756156552419,3,3.378704970239812e-10,1.4469444704373227e-10,6.21445973361573e-11,9.7100933335833e-13,6.866072842130953e-13,solve
mesh_phase24_stycast_density_10um,229624,504,4.3301270190073844e-11,9.999999999978285e-06,1.0000000000158545e-05,1.5625000000002074e-07,9.021097956265436e-18,2.6335554612526555,3,1.6883014714954595e-10,1.0213490357747706e-10,6.214459733615144e-11,9.710093333582246e-13,6.86607284213027e-13,solve
mesh_phase24_stycast_density_10um,237767,504,4.330127018966905e-11,9.999999999878809e-06,1.0000000000158279e-05,9.414859549998902e-08,5.4356716956309066e-18,17.09387008742327,3,9.38638476374293e-11,9.808354929920654e-11,1.0313582780619152e-10,5.850826556996038e-13,4.1371591339982235e-13,solve
mesh_phase24_stycast_density_10um,216035,504,4.325085958135762e-11,9.990821614818196e-06,1.0000000053604081e-05,1.5625000000002074e-07,9.01059574611621e-18,3.349589009710113,3,1.3736955909419248e-10,9.20139380233847e-11,6.207224964365455e-11,9.710099973531954e-13,6.866082232433958e-13,solve
mesh_phase24_stycast_density_10um,220234,504,4.8862415943771634e-11,1.000591919584133e-05,1.155821896534636e-05,1.5625000000002074e-07,1.017966998828572e-17,2.467618112817009,3,5.591233703149084e-10,1.9783786581052413e-10,7.012577576518364e-11,9.85927678654927e-13,7.075477544332345e-13,solve
mesh_phase24_stycast_density_10um,219829,504,4.0959802766849964e-11,9.355819019927912e-06,1.014063667338788e-05,1.5625000000002074e-07,8.533292243093791e-18,1.9763440750415096,3,2.346891986985926e-10,1.1721214778629037e-10,5.878419821729962e-11,9.752414563891792e-13,6.925794795730968e-13,solve
mesh_phase24_stycast_density_10um,235129,504,4.2582776658008784e-11,9.742681682979688e-06,1.0009569222436434e-05,7.985125225000141e-08,4.533717387232155e-18,3.096348743813631,3,2.708517552138742e-10,1.7980628986634128e-10,1.1958453352465496e-10,4.965435272964416e-13,3.513291635714639e-13,solve
