% Model:              0902gakkai715uA.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 13 2026, 23:25
% Table:              プローブテーブル 1 - 
% 時間 (ms)                                         温度 (K), 吸収体                                       温度 (K), StyCast                                   温度 (K), TES                                       アンペアメーターを通る電流 # (µA)                              TES R(T) (mΩ), TES R
26.98                                             0.16909770420757336                               0.168907476793308                                 0.16871524721058853                               138.52369493026848                                16.230108763207536
26.990000000000002                                0.16909726822277282                               0.16890720252219577                               0.16871513607481203                               138.52750291743908                                16.229555434602084
27                                                0.16909683260859357                               0.16890692848404945                               0.16871502503312374                               138.5313077248031                                 16.2290025984289
27.01                                             0.16909639736473878                               0.1689066546786712                                0.16871491408544445                               138.53510935497033                                16.22845025422954
27.020000000000003                                0.16909596249088366                               0.1689063811058625                                0.16871480323169494                               138.5389078105488                                 16.22789840154668
27.03                                             0.16909552798672264                               0.16890610776542633                               0.16871469247179566                               138.54270309414514                                16.22734703992325
27.040000000000003                                0.16909509385193483                               0.16890583465716455                               0.1687145818056659                                138.54649520836318                                16.226796168902432
27.05                                             0.16909466008620658                               0.16890556178088034                               0.16871447123322966                               138.55028415580725                                16.22624578802894
27.060000000000002                                0.16909422668923008                               0.16890528913637678                               0.168714360754406                                 138.55406993907644                                16.225695896846563
27.07                                             0.16909379366067517                               0.16890501672345473                               0.16871425036911442                               138.5578525607685                                 16.225146494899988
27.080000000000002                                0.16909336100023692                               0.1689047445419196                                0.1687141400772776                                138.56163202347977                                16.22459758173495
27.090000000000003                                0.16909292870761627                               0.16890447259157393                               0.16871402987881656                               138.56540832980335                                16.224049156896978
27.1                                              0.16909249678247995                               0.16890420087222136                               0.16871391977365138                               138.5691814823322                                 16.223501219931897
27.11                                             0.16909206522451825                               0.16890392938366577                               0.1687138097617036                                138.57295148365685                                16.222953770386937
27.12                                             0.1690916340334337                                0.1689036581257104                                0.16871369984289558                               138.57671833636556                                16.22240680780933
27.130000000000003                                0.16909120320889198                               0.16890338709815947                               0.16871359001714709                               138.58048204304245                                16.221860331746086
27.14                                             0.16909077275059817                               0.16890311630081714                               0.16871348028437985                               138.58424260627163                                16.221314341745163
27.150000000000002                                0.16909034265823303                               0.168902845733489                                 0.1687133706445161                                138.58800002863603                                16.220768837355685
27.160000000000004                                0.16908991293148504                               0.16890257539597633                               0.1687132610974759                                138.59175431271453                                16.220223818125973
27.17                                             0.16908948357005074                               0.16890230528808517                               0.1687131516431815                                138.59550546108542                                16.219679283605682
27.18                                             0.16908905457360318                               0.1689020354096213                                0.16871304228155531                               138.5992534763241                                 16.219135233344815
27.19                                             0.1690886259418511                                0.16890176576039062                               0.16871293301251794                               138.60299836100293                                16.21859166689313
27.200000000000003                                0.16908819767446942                               0.16890149634019622                               0.1687128238359914                                138.6067401176943                                 16.21804858380145
27.21                                             0.1690877697711514                                0.16890122714884398                               0.16871271475189795                               138.61047874896877                                16.217505983621642
27.220000000000002                                0.16908734223159202                               0.16890095818613904                               0.16871260576015865                               138.61421425739243                                16.2169638659044
27.23                                             0.16908691505547724                               0.1689006894518872                                0.1687124968606959                                138.6179466455318                                 16.216422230202646
27.240000000000002                                0.16908648824249703                               0.1689004209458971                                0.16871238805343222                               138.6216759159489                                 16.215881076068
27.25                                             0.16908606179234476                               0.16890015266796915                               0.1687122793382888                                138.62540207120625                                16.215340403054025
27.26                                             0.16908563570470792                               0.16889988461791358                               0.16871217071518851                               138.62912511386358                                16.214800210714372
27.270000000000003                                0.16908520997928506                               0.16889961679553625                               0.16871206218405319                               138.6328450464765                                 16.214260498602126
27.28                                             0.16908478461575827                               0.1688993492006401                                0.1687119537448045                                138.6365618716019                                 16.213721266272348
27.290000000000003                                0.16908435961382456                               0.16889908183304017                               0.16871184539736597                               138.64027559179206                                16.213182513279293
27.3                                              0.16908393497317853                               0.16889881469253212                               0.1687117371416595                                138.64398620959864                                16.212644239178317
27.310000000000002                                0.16908351069350824                               0.16889854777893243                               0.16871162897760764                               138.64769372757073                                16.21210644352541
27.32                                             0.16908308677451325                               0.16889828109204155                               0.1687115209051336                                138.65139814825454                                16.211569125876053
27.330000000000002                                0.16908266321588167                               0.1688980146316711                                0.16871141292415825                               138.6550994741969                                 16.211032285787315
27.340000000000003                                0.1690822400173036                                0.16889774839762575                               0.1687113050346049                                138.65879770794052                                16.210495922815912
27.35                                             0.16908181717847426                               0.16889748238971508                               0.1687111972363974                                138.66249285202647                                16.209960036519156
27.36                                             0.16908139469908792                               0.16889721660774606                               0.16871108952945704                               138.66618490899458                                16.209424626455576
27.37                                             0.1690809725788447                                0.1688969510515272                                0.16871098191370798                               138.66987388137963                                16.208889692182357
27.380000000000003                                0.1690805508174325                                0.1688966857208649                                0.16871087438907253                               138.67355977171815                                16.208355233259034
27.39                                             0.16908012941454942                               0.16889642061556864                               0.16871076695547318                               138.67724258254316                                16.20782124924482
27.400000000000002                                0.1690797083698782                                0.168896155735448                                 0.16871065961283427                               138.68092231638562                                16.207287739699183
27.410000000000004                                0.16907928768312988                               0.16889589108030958                               0.16871055236107785                               138.6845989757747                                 16.206754704181964
