% Model:              0902gakkai715uA.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 2 2026, 14:15
% Table:              プローブテーブル 1 - 
% Time (ms)              温度 (K), 吸収体              温度 (K), TES              アンペアメーターを通る電流 # (µA)
20.2825                  0.16949274414854332      0.16880253704016837      135.5473369136272
20.283                   0.1694927029011842       0.16880261379859188      135.544726224345
20.2835                  0.16949266167290136      0.16880268998782053      135.54213491175383
20.284                   0.16949262046357988      0.16880276561160054      135.53956284797587
20.2845                  0.16949257927310682      0.1688028406736541       135.53700990597522
20.285                   0.16949253810136886      0.16880291517767892      135.5344759595553
20.2855                  0.16949249694825194      0.16880298912734795      135.53196088335113
20.286                   0.16949245581364497      0.1688030625263106       135.52946455282924
20.2865                  0.16949241469743867      0.16880313537819266      135.5269868442743
20.287                   0.16949237359952182      0.16880320768659401      135.52452763478814
20.287500000000005       0.1694923325197826       0.16880327945509355      135.52208680228776
20.288                   0.16949229145811415      0.1688033506872454       135.51966422549205
20.288500000000003       0.16949225041440819      0.16880342138658067      135.51725978392244
20.289                   0.16949220938855725      0.1688034915566063       135.51487335789767
20.2895                  0.1694921683804546       0.16880356120080747      135.51250482852365
20.29                    0.1694921273899926       0.16880363032264545      135.51015407769097
20.2905                  0.16949208641706912      0.1688036989255599       135.50782098807534
20.291                   0.16949204546157642      0.1688037670129674       135.50550544312276
20.2915                  0.16949200452341295      0.16880383458826115      135.5032073270481
20.292                   0.16949196360247357      0.16880390165481357      135.5009265248312
20.2925                  0.16949192269865557      0.16880396821597404      135.4986629222162
20.293                   0.16949188181185915      0.1688040342750696       135.49641640569578
20.2935                  0.16949184094198147      0.16880409983540554      135.49418686251258
20.294                   0.16949180008892192      0.16880416490026648      135.4919741806605
20.2945                  0.1694917592525807       0.16880422947291565      135.48977824886356
20.295                   0.16949171843285946      0.16880429355659224      135.48759895658725
20.2955                  0.16949167762965806      0.1688043571545165       135.4854361940243
20.296                   0.16949163684287957      0.1688044202698873       135.48328985208855
20.2965                  0.1694915960724263       0.16880448290588185      135.481159822425
20.297000000000004       0.16949155531820118      0.16880454506565634      135.47904599738442
20.2975                  0.16949151458010944      0.16880460675234701      135.4769482700322
20.298000000000002       0.16949147385805396      0.16880466796906818      135.47486653413915
