% Model:              0902gakkai715uA.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 9 2026, 15:39
% Table:              プローブテーブル 1 - 
% Time (ms)              温度 (K), 吸収体              温度 (K), TES              アンペアメーターを通る電流 # (µA)
22.970000000000006       0.1693392330663497       0.1687767570390798       136.42293567010486
22.98                    0.16933859168907123      0.16877659384707058      136.42849100389077
22.990000000000002       0.16933795085738207      0.16877643079313073      136.4340417351012
23                       0.16933731057081294      0.1687762678771442       136.43958786745108
23.01                    0.1693366708289001       0.16877610509899427      136.4451294046568
23.020000000000003       0.1693360316311801       0.1687759424585642       136.45066635042699
23.03                    0.16933539297719016      0.16877577995573795      136.45619870846966
23.040000000000003       0.16933475486646504      0.16877561759039877      136.4617264824902
23.05                    0.16933411729854303      0.1687754553624309       136.46724967619065
23.060000000000006       0.16933348027296055      0.16877529327171903      136.4727682932707
23.07                    0.1693328437892555       0.16877513131814648      136.47828233742692
23.080000000000002       0.16933220784696754      0.16877496950159662      136.48379181235205
23.090000000000003       0.16933157244563402      0.168774807821955        136.48929672173742
23.1                     0.16933093758479265      0.1687746462791049       136.49479706927153
23.110000000000003       0.16933030326398577      0.16877448487293184      136.50029285864076
23.12                    0.16932966948275122      0.16877432360331962      136.5057840935255
23.130000000000006       0.16932903624062987      0.16877416247015284      136.5112707776066
23.14                    0.1693284035371614       0.16877400147331675      136.5167529145602
23.150000000000006       0.16932777137188806      0.1687738406126957       136.52223050805978
23.16                    0.1693271397443497       0.16877367988817504      136.52770356177837
23.17                    0.16932650865408988      0.16877351929963869      136.53317207938267
23.18                    0.16932587810065         0.16877335884697375      136.5386360645393
23.19                    0.1693252480835716       0.16877319853006428      136.54409552091087
23.200000000000003       0.1693246186023993       0.1687730383487952       136.54955045215806
23.21                    0.16932398965667572      0.16877287830305263      136.555000861937
23.220000000000006       0.16932336124594308      0.16877271839272132      136.56044675390265
23.23                    0.1693227333697467       0.1687725586176875       136.5658881317066
23.240000000000002       0.1693221060276317       0.16877239897783725      136.57132499899748
23.25                    0.16932147921914045      0.16877223947305534      136.57675735942058
23.26                    0.16932085294382376      0.16877208010322828      136.58218521662067
23.270000000000003       0.16932022720122103      0.16877192086824183      136.58760857423857
23.28                    0.16931960199088092      0.16877176176798256      136.59302743591044
23.290000000000003       0.16931897731235138      0.16877160280233672      136.5984418052717
23.3                     0.16931835316517682      0.16877144397118923      136.6038516859552
23.310000000000006       0.16931772954890406      0.16877128527442797      136.60925708158985
23.32                    0.16931710646308343      0.1687711267119391       136.61465799580236
23.330000000000002       0.16931648390726176      0.16877096828360838      136.62005443221474
23.340000000000003       0.16931586188098546      0.16877080998932306      136.6254463944503
23.35                    0.16931524038380538      0.16877065182897014      136.63083388612787
23.360000000000003       0.16931461941527085      0.1687704938024363       136.63621691086047
23.37                    0.16931399897492977      0.16877033590960805      136.64159547226197
23.380000000000003       0.1693133790623332       0.16877017815037285      136.64696957394312
23.39                    0.16931275967703036      0.16877002052461798      136.65233921951076
23.400000000000006       0.1693121408185741       0.16876986303223115      136.65770441256845
23.41                    0.16931152248651357      0.16876970567309868      136.66306515671963
23.42                    0.16931090468040008      0.16876954844710748      136.66842145556143
23.43                    0.16931028739978587      0.16876939135414673      136.67377331268975
23.44                    0.1693096706442236       0.1687692343941032       136.67912073169887
