time_from_pulse_us,comsol_current_drop_uA,direct_current_drop_uA,mpi_current_drop_uA,direct_minus_comsol_uA,mpi_minus_comsol_uA
9.3,0.00026159337741811663,0.8377895439353539,0.7932767097442175,0.8375279505579357,0.7930151163667993
9.35,0.0002751571834983916,0.8434572344406475,0.7974804045381124,0.8431820772571491,0.7972052473546141
9.4,0.00028921281160382945,0.8491068418607325,0.8016727686888844,0.8488176290491286,0.8013835558772805
9.450000000000001,0.0003037222732826428,0.8546878712084782,0.80585804324373,0.8543841489351955,0.8055543209704473
9.5,0.0003186475800830441,0.8601498274967542,0.8100404692498465,0.8598311799166711,0.8097218216697635
9.55,0.00033395074355324747,0.8654422157384306,0.8142242877544317,0.8651082649948774,0.8138903370108784
9.600000000000001,0.0003495937752414653,0.870514540946377,0.8184137398046823,0.8701649471711356,0.8180641460294409
9.65,0.00036553868669591015,0.8753163081334628,0.8226130664477959,0.874950769446767,0.8222475277611
9.700000000000001,0.0003817474894647961,0.8797970223125583,0.8268265087309696,0.8794152748230935,0.8264447612415048
9.75,0.00039818219509633515,0.8839061884965325,0.8310583077014007,0.8835080063014361,0.8306601255063043
9.8,0.0004148048151387413,0.8875933116982556,0.8353127044062865,0.8871785068831168,0.8348978995911477
9.850000000000001,0.00043157736114022704,0.8908078969305971,0.839593939892824,0.890376319569457,0.8391623625316839
9.9,0.0004484618446490048,0.8934994492064267,0.8439062552082108,0.8930509873617777,0.8434577933635619
9.950000000000001,0.00046542812135135257,0.895617473538614,0.848253891399644,0.8951520454172627,0.8477884632782927
10.0,0.00048265312185721566,0.897111474940029,0.8526410895143208,0.8966288218181717,0.8521584363924636
10.25,0.000574423932449738,0.9026564772213704,0.8753189455882644,0.9020820532889207,0.8747445216558146
10.5,0.0006769578208522541,0.9077847158873423,0.8996220068228886,0.90710775806649,0.8989450490020363
10.75,0.0007921003293892899,0.9125168751083035,0.9260804041178504,0.9117247747789142,0.9252883037884612
11.0,0.0009220708380308097,0.916873507513406,0.9557896917208946,0.9159514366753752,0.9548676208828637
11.25,0.0010719213341765835,0.9208751657318017,0.9934791227463677,0.9198032443976252,0.9924072014121912
11.5,0.0012421380881722616,0.9245424023926432,1.0356780226453095,0.9233002643044709,1.0344358845571373
11.75,0.001431938227865702,0.9278957701250818,1.0768578471488814,0.9264638318972162,1.0754259089210156
12.0,0.0016405388811047618,0.9309558215582701,1.111490051988244,0.9293152826771653,1.1098495131071393
